source_path,source_role,purpose,exists_in_build_environment,file_size_bytes,sha256,embedded_in_master_package
/mnt/data/결정로그(5).md,DECISION_LOG,승인·보류·구조결정의 단일 원본,True,52234,7361FCFA43CFDAF8DCFA46862671F62BAB52F2E05D622548881CC3D98D75F4FB,False
/mnt/data/260730_한미3테마_통합룰북_v1.6_승인결정반영본.docx,APPROVED_RULEBOOK_BASELINE,승인된 방법론 기준본,True,45653,B3FD60CA6F284A5C11094C9B04255A680DB4D9B379BB8AFA47676B07FCE18130,False
/mnt/data/260730_한미3테마_데이터사전_v0.8_승인결정반영본.docx,APPROVED_DICTIONARY_BASELINE,승인된 필드·상태 기준본,True,46136,1DD6E763A99A70744CC1B5BA8E372E9F0967BEB6FAF57CA66CCB402121C6C9E7,False
/mnt/data/260730_수식정리부록_v1.5_승인결정반영본.docx,APPROVED_FORMULA_BASELINE,승인된 계산 정의 기준본,True,43128,1EF6567DDD29091085F83463B47CBC74448CF8709A42F5E469F3A0002BAE3C31,False
/mnt/data/260730_프로젝트통합회의록_우선결정종결_승인반영본.docx,APPROVED_MEETING_BASELINE,의사결정 맥락·미결사항,True,43941,048422732BAA232F195CE22F392E07D5AB0F26FEAC8AD74C59EC3D6DC4DD459F,False
/mnt/data/20260731_Seed18_테마적격진단_KRUS통합_문서업데이트_v0_1/02_운영문서/260731_한미3테마_데이터사전_v1.0_Seed18테마적격진단_KRUS통합_3방향인계_검토본.docx,LATEST_DICTIONARY_REVIEW,테마·기업행사·3방향 인계 보수,True,44249,DC610E5CB9776691B92268E9EFF9C2A97D2DD8BD12CEC3B6B7A0F2F874250D22,False
/mnt/data/20260731_Seed18_테마적격진단_KRUS통합_문서업데이트_v0_1/02_운영문서/260731_한미3테마_통합룰북_v1.7_Seed18테마적격진단_기업행사_3방향인계_검토본.docx,LATEST_RULEBOOK_REVIEW,테마·기업행사·인계 규칙 보수,True,42853,42D45AFEF5D9AB355186F7CCA055938A23187306D771531FA2D1650C2D0E1381,False
/mnt/data/20260731_Seed18_테마적격진단_KRUS통합_문서업데이트_v0_1/02_운영문서/260731_수식정리부록_v1.6_Seed18테마적격진단_기업행사_3방향인계_검토본.docx,LATEST_FORMULA_REVIEW,PIT·영향축·인계 준비도 보수,True,41359,A151F4BF966E25F9FBA8E896DD5E302841D3463F6F79D8AFD2452B0258A116FD,False
/mnt/data/20260731_Seed18_테마적격진단_KRUS통합_문서업데이트_v0_1/01_테마적격진단/260731_Seed18_테마적격성_검사표_v0.6_KRUS통합_기업행사_3방향인계_반영.xlsx,THEME_DIAGNOSIS_WORKBOOK,KR·US 공통 진단과 수신자별 인계,True,109467,661F5507F2DF8B3F43CBDEBF59A4BFD65F7E7E779D8C2B20D6A97853FC1BEA54,False
/mnt/data/20260731_Seed18_US9_기업행사_QA인계_외부재대조_보강_v0_3/01_통합검토원장/260731_Seed18_US9_기업행사_외부재대조_QA인계_보강원장_v0.3.xlsx,US9_CA_RECHECK,SEC 시간축·관할·시장자료 외부 재대조,True,89030,B764D179527FB4D1E1715094972D248221EF36CE2810767C1EA735927CA07859,False
/mnt/data/260731_KR9_기업행사_API통합_논리근거_육하원칙주석_검토원장_v0.4 (1).xlsx,KR9_CA_LEDGER,KR9 DART 원자료·정정계보·PIT,True,83628,6E9E36181983AF3734B779226333C59D3B7108207792DF6FBF98DAC7A14580C1,False
/mnt/data/20260731_KR9_기업행사_출처역할_상태축_증분조회_작업패키지_v0_7(1).zip,KR9_CA_EXTENSION_DESIGN,DART 증분·KRX/KIND 상태축 설계,True,92233,74577EB9E352DC7BC5B8A3C49FFC0A78ADF23C14DE8180808D22E741FFDECEBC,False
/mnt/data/데이터사전(1).md,EARLIER_DATA_DICTIONARY,초기·중간 필드 정의와 미결,True,66967,9E50EB2BFC3A4B89249F178907CDF90EE05C228F9D5982477A3DD59FDA11BE38,False
/mnt/data/종목선정규칙_체크리스트 (1)(1).md,SELECTION_CHECKLIST,선정·정지·유동성·대표클래스 검토,True,6964,B02F724CB16D6035BFC2B3C4AB83609A78AF8FBD2477D03150B3C1D706A47920,False
