security_id,market,observation_end_date,open_days_target,observed_open_days,halt_days_90,zero_volume_days_90,missing_days_90,traded_days_90,seasoning_days,seasoning_status,adtv90_zero,adtv90_exclude_halt,official_adtv90,official_adtv90_method,rule_version,adtv90_status,data_cutoff_date,selection_date,review_cycle_id
010120,KR,2013-06-24,90,90,0,0,0,90,119,SEASONED,5159787283.688889,5159787283.688889,5159787283.688889,ZERO,v0.9-pilot,CALCULATED,2013-06-24,2013-06-30,RC-2013-06-30
012450,KR,2013-06-24,90,90,0,0,0,90,119,SEASONED,15346439089.144444,15346439089.144444,15346439089.144444,ZERO,v0.9-pilot,CALCULATED,2013-06-24,2013-06-30,RC-2013-06-30
018260,KR,2013-06-24,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2013-06-24,2013-06-30,RC-2013-06-30
064350,KR,2013-06-24,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2013-06-24,2013-06-30,RC-2013-06-30
064400,KR,2013-06-24,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2013-06-24,2013-06-30,RC-2013-06-30
079550,KR,2013-06-24,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2013-06-24,2013-06-30,RC-2013-06-30
267260,KR,2013-06-24,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2013-06-24,2013-06-30,RC-2013-06-30
298040,KR,2013-06-24,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2013-06-24,2013-06-30,RC-2013-06-30
307950,KR,2013-06-24,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2013-06-24,2013-06-30,RC-2013-06-30
ALAB,US,2013-06-24,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2013-06-24,2013-06-30,RC-2013-06-30
ANET,US,2013-06-24,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2013-06-24,2013-06-30,RC-2013-06-30
APH,US,2013-06-24,90,90,0,0,0,90,120,SEASONED,46988594.19822223,46988594.19822223,46988594.19822223,ZERO,v0.9-pilot,CALCULATED,2013-06-24,2013-06-30,RC-2013-06-30
ATI,US,2013-06-24,90,90,0,0,0,90,120,SEASONED,49562134.5,49562134.5,49562134.5,ZERO,v0.9-pilot,CALCULATED,2013-06-24,2013-06-30,RC-2013-06-30
ETN,US,2013-06-24,90,90,0,0,0,90,120,SEASONED,209126884.47777778,209126884.47777778,209126884.47777778,ZERO,v0.9-pilot,CALCULATED,2013-06-24,2013-06-30,RC-2013-06-30
GEV,US,2013-06-24,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2013-06-24,2013-06-30,RC-2013-06-30
KTOS,US,2013-06-24,90,90,0,0,0,90,120,SEASONED,2036946.211111111,2036946.211111111,2036946.211111111,ZERO,v0.9-pilot,CALCULATED,2013-06-24,2013-06-30,RC-2013-06-30
SPCX,US,2013-06-24,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2013-06-24,2013-06-30,RC-2013-06-30
TER,US,2013-06-24,90,90,0,0,0,90,120,SEASONED,42657596.62222222,42657596.62222222,42657596.62222222,ZERO,v0.9-pilot,CALCULATED,2013-06-24,2013-06-30,RC-2013-06-30
010120,KR,2013-09-23,90,90,0,0,0,90,180,SEASONED,5628628009.244445,5628628009.244445,5628628009.244445,ZERO,v0.9-pilot,CALCULATED,2013-09-23,2013-09-30,RC-2013-09-30
012450,KR,2013-09-23,90,90,0,0,0,90,180,SEASONED,14258205703.61111,14258205703.61111,14258205703.61111,ZERO,v0.9-pilot,CALCULATED,2013-09-23,2013-09-30,RC-2013-09-30
018260,KR,2013-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2013-09-23,2013-09-30,RC-2013-09-30
064350,KR,2013-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2013-09-23,2013-09-30,RC-2013-09-30
064400,KR,2013-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2013-09-23,2013-09-30,RC-2013-09-30
079550,KR,2013-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2013-09-23,2013-09-30,RC-2013-09-30
267260,KR,2013-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2013-09-23,2013-09-30,RC-2013-09-30
298040,KR,2013-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2013-09-23,2013-09-30,RC-2013-09-30
307950,KR,2013-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2013-09-23,2013-09-30,RC-2013-09-30
ALAB,US,2013-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2013-09-23,2013-09-30,RC-2013-09-30
ANET,US,2013-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2013-09-23,2013-09-30,RC-2013-09-30
APH,US,2013-09-23,90,90,0,0,0,90,183,SEASONED,52404728.54133333,52404728.54133333,52404728.54133333,ZERO,v0.9-pilot,CALCULATED,2013-09-23,2013-09-30,RC-2013-09-30
ATI,US,2013-09-23,90,90,0,0,0,90,183,SEASONED,42265719.2,42265719.2,42265719.2,ZERO,v0.9-pilot,CALCULATED,2013-09-23,2013-09-30,RC-2013-09-30
ETN,US,2013-09-23,90,90,0,0,0,90,183,SEASONED,185311325.8888889,185311325.8888889,185311325.8888889,ZERO,v0.9-pilot,CALCULATED,2013-09-23,2013-09-30,RC-2013-09-30
GEV,US,2013-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2013-09-23,2013-09-30,RC-2013-09-30
KTOS,US,2013-09-23,90,90,0,0,0,90,183,SEASONED,3648113.2,3648113.2,3648113.2,ZERO,v0.9-pilot,CALCULATED,2013-09-23,2013-09-30,RC-2013-09-30
SPCX,US,2013-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2013-09-23,2013-09-30,RC-2013-09-30
TER,US,2013-09-23,90,90,0,0,0,90,183,SEASONED,38584514.93333333,38584514.93333333,38584514.93333333,ZERO,v0.9-pilot,CALCULATED,2013-09-23,2013-09-30,RC-2013-09-30
010120,KR,2013-12-23,90,90,0,0,0,90,243,SEASONED,5244304380.0,5244304380.0,5244304380.0,ZERO,v0.9-pilot,CALCULATED,2013-12-23,2013-12-31,RC-2013-12-31
012450,KR,2013-12-23,90,90,0,0,0,90,243,SEASONED,13974547214.088888,13974547214.088888,13974547214.088888,ZERO,v0.9-pilot,CALCULATED,2013-12-23,2013-12-31,RC-2013-12-31
018260,KR,2013-12-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2013-12-23,2013-12-31,RC-2013-12-31
064350,KR,2013-12-23,90,39,0,0,0,39,39,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2013-12-23,2013-12-31,RC-2013-12-31
064400,KR,2013-12-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2013-12-23,2013-12-31,RC-2013-12-31
079550,KR,2013-12-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2013-12-23,2013-12-31,RC-2013-12-31
