cell_id,cell_shortage_flag,cell_shortage_reason,resolution,review_cycle_id
KR_AI_ROBOTICS,1,INSUFFICIENT_ELIGIBLE_COUNT,SAME_THEME_CROSS_REGION->US_AI_ROBOTICS,RC-2013-06-30
US_AI_ROBOTICS,0,,,RC-2013-06-30
KR_ENERGY_POWER,1,INSUFFICIENT_ELIGIBLE_COUNT,SAME_THEME_CROSS_REGION->US_ENERGY_POWER,RC-2013-06-30
US_ENERGY_POWER,0,,,RC-2013-06-30
KR_SPACE_DEFENSE,0,,,RC-2013-06-30
US_SPACE_DEFENSE,0,,,RC-2013-06-30
KR_AI_ROBOTICS,1,INSUFFICIENT_ELIGIBLE_COUNT,SAME_THEME_CROSS_REGION->US_AI_ROBOTICS,RC-2013-09-30
US_AI_ROBOTICS,0,,,RC-2013-09-30
KR_ENERGY_POWER,1,INSUFFICIENT_ELIGIBLE_COUNT,SAME_THEME_CROSS_REGION->US_ENERGY_POWER,RC-2013-09-30
US_ENERGY_POWER,0,,,RC-2013-09-30
KR_SPACE_DEFENSE,0,,,RC-2013-09-30
US_SPACE_DEFENSE,0,,,RC-2013-09-30
KR_AI_ROBOTICS,1,INSUFFICIENT_ELIGIBLE_COUNT,SAME_THEME_CROSS_REGION->US_AI_ROBOTICS,RC-2013-12-31
US_AI_ROBOTICS,0,,,RC-2013-12-31
KR_ENERGY_POWER,1,INSUFFICIENT_ELIGIBLE_COUNT,SAME_THEME_CROSS_REGION->US_ENERGY_POWER,RC-2013-12-31
US_ENERGY_POWER,0,,,RC-2013-12-31
KR_SPACE_DEFENSE,0,,,RC-2013-12-31
US_SPACE_DEFENSE,0,,,RC-2013-12-31
KR_AI_ROBOTICS,1,INSUFFICIENT_ELIGIBLE_COUNT,SAME_THEME_CROSS_REGION->US_AI_ROBOTICS,RC-2014-03-31
US_AI_ROBOTICS,0,,,RC-2014-03-31
KR_ENERGY_POWER,1,INSUFFICIENT_ELIGIBLE_COUNT,SAME_THEME_CROSS_REGION->US_ENERGY_POWER,RC-2014-03-31
US_ENERGY_POWER,0,,,RC-2014-03-31
KR_SPACE_DEFENSE,0,,,RC-2014-03-31
US_SPACE_DEFENSE,0,,,RC-2014-03-31
KR_AI_ROBOTICS,1,INSUFFICIENT_ELIGIBLE_COUNT,SAME_THEME_CROSS_REGION->US_AI_ROBOTICS,RC-2014-06-30
US_AI_ROBOTICS,0,,,RC-2014-06-30
KR_ENERGY_POWER,1,INSUFFICIENT_ELIGIBLE_COUNT,SAME_THEME_CROSS_REGION->US_ENERGY_POWER,RC-2014-06-30
US_ENERGY_POWER,0,,,RC-2014-06-30
KR_SPACE_DEFENSE,0,,,RC-2014-06-30
US_SPACE_DEFENSE,0,,,RC-2014-06-30
KR_AI_ROBOTICS,1,INSUFFICIENT_ELIGIBLE_COUNT,SAME_THEME_CROSS_REGION->US_AI_ROBOTICS,RC-2014-09-30
US_AI_ROBOTICS,0,,,RC-2014-09-30
KR_ENERGY_POWER,1,INSUFFICIENT_ELIGIBLE_COUNT,SAME_THEME_CROSS_REGION->US_ENERGY_POWER,RC-2014-09-30
US_ENERGY_POWER,0,,,RC-2014-09-30
KR_SPACE_DEFENSE,0,,,RC-2014-09-30
US_SPACE_DEFENSE,0,,,RC-2014-09-30
KR_AI_ROBOTICS,1,INSUFFICIENT_ELIGIBLE_COUNT,SAME_THEME_CROSS_REGION->US_AI_ROBOTICS,RC-2014-12-31
US_AI_ROBOTICS,0,,,RC-2014-12-31
KR_ENERGY_POWER,1,INSUFFICIENT_ELIGIBLE_COUNT,SAME_THEME_CROSS_REGION->US_ENERGY_POWER,RC-2014-12-31
US_ENERGY_POWER,0,,,RC-2014-12-31
KR_SPACE_DEFENSE,0,,,RC-2014-12-31
US_SPACE_DEFENSE,0,,,RC-2014-12-31
KR_AI_ROBOTICS,1,INSUFFICIENT_ELIGIBLE_COUNT,SAME_THEME_CROSS_REGION->US_AI_ROBOTICS,RC-2015-03-31
US_AI_ROBOTICS,0,,,RC-2015-03-31
KR_ENERGY_POWER,1,INSUFFICIENT_ELIGIBLE_COUNT,SAME_THEME_CROSS_REGION->US_ENERGY_POWER,RC-2015-03-31
US_ENERGY_POWER,0,,,RC-2015-03-31
KR_SPACE_DEFENSE,0,,,RC-2015-03-31
US_SPACE_DEFENSE,0,,,RC-2015-03-31
KR_AI_ROBOTICS,0,,,RC-2015-06-30
US_AI_ROBOTICS,0,,,RC-2015-06-30
KR_ENERGY_POWER,1,INSUFFICIENT_ELIGIBLE_COUNT,SAME_THEME_CROSS_REGION->US_ENERGY_POWER,RC-2015-06-30
US_ENERGY_POWER,0,,,RC-2015-06-30
KR_SPACE_DEFENSE,0,,,RC-2015-06-30
US_SPACE_DEFENSE,0,,,RC-2015-06-30
KR_AI_ROBOTICS,0,,,RC-2015-09-30
US_AI_ROBOTICS,0,,,RC-2015-09-30
KR_ENERGY_POWER,1,INSUFFICIENT_ELIGIBLE_COUNT,SAME_THEME_CROSS_REGION->US_ENERGY_POWER,RC-2015-09-30
US_ENERGY_POWER,0,,,RC-2015-09-30
KR_SPACE_DEFENSE,0,,,RC-2015-09-30
US_SPACE_DEFENSE,0,,,RC-2015-09-30
KR_AI_ROBOTICS,0,,,RC-2015-12-31
US_AI_ROBOTICS,0,,,RC-2015-12-31
KR_ENERGY_POWER,0,,,RC-2015-12-31
US_ENERGY_POWER,0,,,RC-2015-12-31
KR_SPACE_DEFENSE,0,,,RC-2015-12-31
US_SPACE_DEFENSE,0,,,RC-2015-12-31
KR_AI_ROBOTICS,0,,,RC-2016-03-31
US_AI_ROBOTICS,0,,,RC-2016-03-31
KR_ENERGY_POWER,0,,,RC-2016-03-31
US_ENERGY_POWER,0,,,RC-2016-03-31
KR_SPACE_DEFENSE,0,,,RC-2016-03-31
US_SPACE_DEFENSE,0,,,RC-2016-03-31
KR_AI_ROBOTICS,0,,,RC-2016-06-30
US_AI_ROBOTICS,0,,,RC-2016-06-30
KR_ENERGY_POWER,0,,,RC-2016-06-30
US_ENERGY_POWER,0,,,RC-2016-06-30
KR_SPACE_DEFENSE,0,,,RC-2016-06-30
US_SPACE_DEFENSE,0,,,RC-2016-06-30
KR_AI_ROBOTICS,0,,,RC-2016-09-30
US_AI_ROBOTICS,0,,,RC-2016-09-30
KR_ENERGY_POWER,1,INSUFFICIENT_ELIGIBLE_COUNT,SAME_THEME_CROSS_REGION->US_ENERGY_POWER,RC-2016-09-30
US_ENERGY_POWER,0,,,RC-2016-09-30
KR_SPACE_DEFENSE,0,,,RC-2016-09-30
US_SPACE_DEFENSE,0,,,RC-2016-09-30
KR_AI_ROBOTICS,0,,,RC-2016-12-31
US_AI_ROBOTICS,0,,,RC-2016-12-31
KR_ENERGY_POWER,1,INSUFFICIENT_ELIGIBLE_COUNT,SAME_THEME_CROSS_REGION->US_ENERGY_POWER,RC-2016-12-31
US_ENERGY_POWER,0,,,RC-2016-12-31
KR_SPACE_DEFENSE,0,,,RC-2016-12-31
US_SPACE_DEFENSE,0,,,RC-2016-12-31
KR_AI_ROBOTICS,0,,,RC-2017-03-31
US_AI_ROBOTICS,0,,,RC-2017-03-31
KR_ENERGY_POWER,1,INSUFFICIENT_ELIGIBLE_COUNT,SAME_THEME_CROSS_REGION->US_ENERGY_POWER,RC-2017-03-31
US_ENERGY_POWER,0,,,RC-2017-03-31
KR_SPACE_DEFENSE,0,,,RC-2017-03-31
US_SPACE_DEFENSE,0,,,RC-2017-03-31
KR_AI_ROBOTICS,0,,,RC-2017-06-30
US_AI_ROBOTICS,0,,,RC-2017-06-30
KR_ENERGY_POWER,1,INSUFFICIENT_ELIGIBLE_COUNT,SAME_THEME_CROSS_REGION->US_ENERGY_POWER,RC-2017-06-30
US_ENERGY_POWER,0,,,RC-2017-06-30
KR_SPACE_DEFENSE,0,,,RC-2017-06-30
US_SPACE_DEFENSE,0,,,RC-2017-06-30
KR_AI_ROBOTICS,0,,,RC-2017-09-30
US_AI_ROBOTICS,0,,,RC-2017-09-30
KR_ENERGY_POWER,0,,,RC-2017-09-30
US_ENERGY_POWER,0,,,RC-2017-09-30
KR_SPACE_DEFENSE,0,,,RC-2017-09-30
US_SPACE_DEFENSE,0,,,RC-2017-09-30
KR_AI_ROBOTICS,0,,,RC-2017-12-31
US_AI_ROBOTICS,0,,,RC-2017-12-31
KR_ENERGY_POWER,0,,,RC-2017-12-31
US_ENERGY_POWER,0,,,RC-2017-12-31
KR_SPACE_DEFENSE,0,,,RC-2017-12-31
US_SPACE_DEFENSE,0,,,RC-2017-12-31
KR_AI_ROBOTICS,0,,,RC-2018-03-31
US_AI_ROBOTICS,0,,,RC-2018-03-31
KR_ENERGY_POWER,0,,,RC-2018-03-31
US_ENERGY_POWER,0,,,RC-2018-03-31
KR_SPACE_DEFENSE,0,,,RC-2018-03-31
US_SPACE_DEFENSE,0,,,RC-2018-03-31
KR_AI_ROBOTICS,0,,,RC-2018-06-30
US_AI_ROBOTICS,0,,,RC-2018-06-30
KR_ENERGY_POWER,0,,,RC-2018-06-30
US_ENERGY_POWER,0,,,RC-2018-06-30
KR_SPACE_DEFENSE,0,,,RC-2018-06-30
US_SPACE_DEFENSE,0,,,RC-2018-06-30
KR_AI_ROBOTICS,0,,,RC-2018-09-30
US_AI_ROBOTICS,0,,,RC-2018-09-30
KR_ENERGY_POWER,0,,,RC-2018-09-30
US_ENERGY_POWER,0,,,RC-2018-09-30
KR_SPACE_DEFENSE,0,,,RC-2018-09-30
US_SPACE_DEFENSE,0,,,RC-2018-09-30
KR_AI_ROBOTICS,0,,,RC-2018-12-31
US_AI_ROBOTICS,0,,,RC-2018-12-31
KR_ENERGY_POWER,0,,,RC-2018-12-31
US_ENERGY_POWER,0,,,RC-2018-12-31
KR_SPACE_DEFENSE,0,,,RC-2018-12-31
US_SPACE_DEFENSE,0,,,RC-2018-12-31
KR_AI_ROBOTICS,0,,,RC-2019-03-31
US_AI_ROBOTICS,0,,,RC-2019-03-31
KR_ENERGY_POWER,0,,,RC-2019-03-31
US_ENERGY_POWER,0,,,RC-2019-03-31
KR_SPACE_DEFENSE,0,,,RC-2019-03-31
US_SPACE_DEFENSE,0,,,RC-2019-03-31
KR_AI_ROBOTICS,0,,,RC-2019-06-30
US_AI_ROBOTICS,0,,,RC-2019-06-30
KR_ENERGY_POWER,0,,,RC-2019-06-30
US_ENERGY_POWER,0,,,RC-2019-06-30
KR_SPACE_DEFENSE,0,,,RC-2019-06-30
US_SPACE_DEFENSE,0,,,RC-2019-06-30
KR_AI_ROBOTICS,0,,,RC-2019-09-30
US_AI_ROBOTICS,0,,,RC-2019-09-30
KR_ENERGY_POWER,0,,,RC-2019-09-30
US_ENERGY_POWER,0,,,RC-2019-09-30
KR_SPACE_DEFENSE,0,,,RC-2019-09-30
US_SPACE_DEFENSE,0,,,RC-2019-09-30
KR_AI_ROBOTICS,0,,,RC-2019-12-31
US_AI_ROBOTICS,0,,,RC-2019-12-31
KR_ENERGY_POWER,0,,,RC-2019-12-31
US_ENERGY_POWER,0,,,RC-2019-12-31
KR_SPACE_DEFENSE,0,,,RC-2019-12-31
US_SPACE_DEFENSE,0,,,RC-2019-12-31
KR_AI_ROBOTICS,0,,,RC-2020-03-31
US_AI_ROBOTICS,0,,,RC-2020-03-31
KR_ENERGY_POWER,0,,,RC-2020-03-31
US_ENERGY_POWER,0,,,RC-2020-03-31
KR_SPACE_DEFENSE,0,,,RC-2020-03-31
US_SPACE_DEFENSE,0,,,RC-2020-03-31
KR_AI_ROBOTICS,0,,,RC-2020-06-30
US_AI_ROBOTICS,0,,,RC-2020-06-30
KR_ENERGY_POWER,0,,,RC-2020-06-30
US_ENERGY_POWER,0,,,RC-2020-06-30
KR_SPACE_DEFENSE,0,,,RC-2020-06-30
