security_id,entity_id,market,primary_theme,gate_status,observation_end_date,open_days_target,observed_open_days,halt_days_90,zero_volume_days_90,missing_days_90,traded_days_90,seasoning_days,seasoning_status,adtv90_zero,adtv90_exclude_halt,official_adtv90,official_adtv90_method,rule_version,adtv90_status,data_cutoff_date,selection_date,review_cycle_id,exclusion_reasons,selected_flag,selection_status,composition_method,cap_scenario,selection_rule_version,cell_id
012450,,KR,SPACE_DEFENSE,CANDIDATE,2022-09-23,90,90,0,0,0,90,2394,SEASONED,80587543511.66667,80587543511.66667,80587543511.66667,ZERO,v0.9-pilot,CALCULATED,2022-09-23,2022-09-30,RC-2022-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
064350,,KR,SPACE_DEFENSE,CANDIDATE,2022-09-23,90,90,0,0,0,90,2190,SEASONED,119727144257.22223,119727144257.22223,119727144257.22223,ZERO,v0.9-pilot,CALCULATED,2022-09-23,2022-09-30,RC-2022-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
079550,,KR,SPACE_DEFENSE,CANDIDATE,2022-09-23,90,90,0,0,0,90,1716,SEASONED,22350994027.77778,22350994027.77778,22350994027.77778,ZERO,v0.9-pilot,CALCULATED,2022-09-23,2022-09-30,RC-2022-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
064400,,KR,AI_ROBOTICS,CANDIDATE,2022-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2022-09-23,2022-09-30,RC-2022-09-30,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
018260,,KR,AI_ROBOTICS,CANDIDATE,2022-09-23,90,90,0,0,0,90,1934,SEASONED,15082261461.6,15082261461.6,15082261461.6,ZERO,v0.9-pilot,CALCULATED,2022-09-23,2022-09-30,RC-2022-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
307950,,KR,AI_ROBOTICS,CANDIDATE,2022-09-23,90,90,0,0,0,90,864,SEASONED,7812302344.444445,7812302344.444445,7812302344.444445,ZERO,v0.9-pilot,CALCULATED,2022-09-23,2022-09-30,RC-2022-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
010120,,KR,ENERGY_POWER,CANDIDATE,2022-09-23,90,90,0,0,0,90,2394,SEASONED,8581658872.777778,8581658872.777778,8581658872.777778,ZERO,v0.9-pilot,CALCULATED,2022-09-23,2022-09-30,RC-2022-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
267260,,KR,ENERGY_POWER,CANDIDATE,2022-09-23,90,90,0,0,0,90,1323,SEASONED,13038401367.222221,13038401367.222221,13038401367.222221,ZERO,v0.9-pilot,CALCULATED,2022-09-23,2022-09-30,RC-2022-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
298040,,KR,ENERGY_POWER,CANDIDATE,2022-09-23,90,90,0,0,0,90,1035,SEASONED,3727017733.3333335,3727017733.3333335,3727017733.3333335,ZERO,v0.9-pilot,CALCULATED,2022-09-23,2022-09-30,RC-2022-09-30,LIQUIDITY_BELOW_P10,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
TER,E_TER,US,AI_ROBOTICS,CANDIDATE,2022-09-23,90,90,0,0,0,90,2421,SEASONED,166157649.6,166157649.6,166157649.6,ZERO,v0.9-pilot,CALCULATED,2022-09-23,2022-09-30,RC-2022-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_AI_ROBOTICS
ANET,E_ANET,US,AI_ROBOTICS,CANDIDATE,2022-09-23,90,90,0,0,0,90,2062,SEASONED,212349067.85555556,212349067.85555556,212349067.85555556,ZERO,v0.9-pilot,CALCULATED,2022-09-23,2022-09-30,RC-2022-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_AI_ROBOTICS
ALAB,E_ALAB,US,AI_ROBOTICS,CANDIDATE,2022-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2022-09-23,2022-09-30,RC-2022-09-30,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_AI_ROBOTICS
GEV,E_GEV,US,ENERGY_POWER,CANDIDATE,2022-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2022-09-23,2022-09-30,RC-2022-09-30,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_ENERGY_POWER
ETN,E_ETN,US,ENERGY_POWER,CANDIDATE,2022-09-23,90,90,0,0,0,90,2421,SEASONED,235099616.53333333,235099616.53333333,235099616.53333333,ZERO,v0.9-pilot,CALCULATED,2022-09-23,2022-09-30,RC-2022-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_ENERGY_POWER
APH,E_APH,US,ENERGY_POWER,CANDIDATE,2022-09-23,90,90,0,0,0,90,2421,SEASONED,142012462.33333334,142012462.33333334,142012462.33333334,ZERO,v0.9-pilot,CALCULATED,2022-09-23,2022-09-30,RC-2022-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_ENERGY_POWER
SPCX,E_SPCX,US,SPACE_DEFENSE,CANDIDATE,2022-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2022-09-23,2022-09-30,RC-2022-09-30,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_SPACE_DEFENSE
KTOS,E_KTOS,US,SPACE_DEFENSE,CANDIDATE,2022-09-23,90,90,0,0,0,90,2421,SEASONED,11889143.277777778,11889143.277777778,11889143.277777778,ZERO,v0.9-pilot,CALCULATED,2022-09-23,2022-09-30,RC-2022-09-30,LIQUIDITY_BELOW_P10,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_SPACE_DEFENSE
ATI,E_ATI,US,SPACE_DEFENSE,CANDIDATE,2022-09-23,90,90,0,0,0,90,2421,SEASONED,40727964.822222225,40727964.822222225,40727964.822222225,ZERO,v0.9-pilot,CALCULATED,2022-09-23,2022-09-30,RC-2022-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_SPACE_DEFENSE
