security_id,market,selection_date,review_cycle_id,data_cutoff_date,observation_end_date,seasoning_status,adtv90_status,official_adtv90,adtv90_zero,adtv90_exclude_halt,missing_days_90,halt_days_90,zero_volume_days_90,rule_version,P10_candidate,distance_to_P10,distance_to_P10_pct,pass_P10_candidate,official_minus_exclude_halt,threshold_status
010120,KR,2026-03-31,RC-2026-03-31,2026-03-24,2026-03-24,SEASONED,CALCULATED,114736102244.44444,114736102244.44444,114736102244.44444,0,0,0,v0.9-pilot,74929527453.83112,39806574790.61333,53.125351437910396,True,0.0,TEMPORARY_P10_DIAGNOSTIC
012450,KR,2026-03-31,RC-2026-03-31,2026-03-24,2026-03-24,SEASONED,CALCULATED,315647663104.8889,315647663104.8889,315647663104.8889,0,0,0,v0.9-pilot,74929527453.83112,240718135651.0578,321.2593804216631,True,0.0,TEMPORARY_P10_DIAGNOSTIC
018260,KR,2026-03-31,RC-2026-03-31,2026-03-24,2026-03-24,SEASONED,CALCULATED,34802016502.48889,34802016502.48889,34802016502.48889,0,0,0,v0.9-pilot,74929527453.83112,-40127510951.342224,-53.553668780398155,False,0.0,TEMPORARY_P10_DIAGNOSTIC
064350,KR,2026-03-31,RC-2026-03-31,2026-03-24,2026-03-24,SEASONED,CALCULATED,173115174625.66666,173115174625.66666,173115174625.66666,0,0,0,v0.9-pilot,74929527453.83112,98185647171.83554,131.03732334670602,True,0.0,TEMPORARY_P10_DIAGNOSTIC
064400,KR,2026-03-31,RC-2026-03-31,2026-03-24,2026-03-24,SEASONED,CALCULATED,84961405191.66667,84961405191.66667,84961405191.66667,0,0,0,v0.9-pilot,74929527453.83112,10031877737.835556,13.388417195099533,True,0.0,TEMPORARY_P10_DIAGNOSTIC
079550,KR,2026-03-31,RC-2026-03-31,2026-03-24,2026-03-24,SEASONED,CALCULATED,157231232734.28888,157231232734.28888,157231232734.28888,0,0,0,v0.9-pilot,74929527453.83112,82301705280.45776,109.83881532039436,True,0.0,TEMPORARY_P10_DIAGNOSTIC
267260,KR,2026-03-31,RC-2026-03-31,2026-03-24,2026-03-24,SEASONED,CALCULATED,143244175953.44446,143244175953.44446,143244175953.44446,0,0,0,v0.9-pilot,74929527453.83112,68314648499.61334,91.17186618013355,True,0.0,TEMPORARY_P10_DIAGNOSTIC
298040,KR,2026-03-31,RC-2026-03-31,2026-03-24,2026-03-24,SEASONED,CALCULATED,131614762060.2111,131614762060.2111,131614762060.2111,0,0,0,v0.9-pilot,74929527453.83112,56685234606.37999,75.65139742981484,True,0.0,TEMPORARY_P10_DIAGNOSTIC
307950,KR,2026-03-31,RC-2026-03-31,2026-03-24,2026-03-24,SEASONED,CALCULATED,133374715887.22224,133374715887.22224,133374715887.22224,0,0,0,v0.9-pilot,74929527453.83112,58445188433.39113,78.00020955610985,True,0.0,TEMPORARY_P10_DIAGNOSTIC
ALAB,US,2026-03-31,RC-2026-03-31,2026-03-24,2026-03-24,SEASONED,CALCULATED,809167081.2833333,809167081.2833333,809167081.2833333,0,0,0,v0.9-pilot,300714663.35444444,508452417.92888886,169.08135182273747,True,0.0,TEMPORARY_P10_DIAGNOSTIC
