market_date,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2025-10-01,477.16,479.81,476.49,479.37,89111956,8465683888338,2528144432814190
2025-10-02,491.25,498.22,489.53,493.41,160777307,16146295332382,2601843071314530
2025-10-10,504.2,508.52,500.49,506.97,168784344,16405367541664,2651382088461465
2025-10-13,496.45,501.87,492.46,501.87,135812608,11888268683972,2632445573343325
2025-10-14,505.46,511.59,493.06,496.89,161909306,14998001187994,2616222663926530
2025-10-15,499.89,511.13,499.21,510.55,119826480,11188714177532,2687533871540250
2025-10-16,513.17,524.45,513.08,524.45,146210354,14197197678240,2759099263975280
2025-10-17,522.18,532.28,520.58,525.48,151503580,14168888290044,2762638322680220
2025-10-20,529.82,535.28,522.07,535.28,119835343,11406982981852,2812844418974130
2025-10-21,540.75,546.96,534.23,535.28,159419522,15000665760075,2820383216270955
2025-10-22,534.98,542.59,529.59,542.59,118053302,12308199168827,2864384221138585
2025-10-23,534.75,545.12,532.84,536.37,128016066,13177687089012,2834223056039820
2025-10-24,543.65,551.51,542.68,550.01,157073626,14303911915979,2908552367324865
2025-10-27,558.99,565.79,558.6,565.69,180341731,16024748268155,2986852970406830
2025-10-28,560.19,561.5,554.75,559.51,162837281,16146872593589,2960116067658160
2025-10-29,567.44,571.97,560.25,571.51,188761239,18255581122990,3015785023225435
2025-10-30,574.75,582.25,571.79,575.21,204784275,20013832772372,3023391364305005
2025-10-31,575.08,581.25,570.91,579.46,205200446,19827829103498,3038467148072140
2025-11-03,580.81,599.05,580.73,599.03,164804792,18514513462551,3127617535422240
2025-11-04,598.0,599.47,581.41,581.94,162337704,17469235742005,3049092382764695
2025-11-05,571.41,571.41,543.86,565.4,236220266,23623169310295,2961627320405075
2025-11-06,578.79,581.35,562.2,568.38,199430248,17919021972230,2978665666307945
2025-11-07,558.74,570.79,548.34,557.98,176080679,15872341100494,2925605474049330
2025-11-10,564.02,578.77,562.63,575.31,146296447,13888592027825,3013178902662520
2025-11-11,583.58,594.12,575.15,581.41,169620003,16681192529015,3040140150153290
2025-11-12,579.17,588.07,577.51,586.73,139842092,12788793795736,3070924102651150
2025-11-13,583.38,591.98,582.82,588.65,161799993,15051365622415,3086936686952320
2025-11-14,571.98,576.37,563.42,563.43,141863655,15120968365404,2965195657580740
2025-11-17,574.43,576.85,569.9,576.65,107323301,11122428436424,3023994714589170
2025-11-18,569.37,573.9,556.15,556.45,122931445,11813020383596,2922393506357670
2025-11-19,557.76,557.88,541.85,552.66,118248527,12058942242365,2902431953868030
2025-11-20,569.22,573.29,563.7,564.2,111501238,12319688106214,2957968367777790
2025-11-21,550.07,550.88,538.04,540.36,103450510,12068234410202,2842651634169810
2025-11-24,550.52,551.9,539.52,540.81,162098091,18529068798858,2833713406297500
2025-11-25,556.54,557.61,540.82,544.62,100256651,10925142416488,2853183543762990
2025-11-26,549.12,559.48,545.08,559.37,116290895,13429889811869,2931990797143250
2025-11-27,564.24,569.77,560.23,563.36,88209179,10826715877389,2943187118390590
2025-11-28,564.36,564.36,553.48,554.0,91243333,9877928601900,2893090947866700
2025-12-01,560.57,562.11,549.03,553.96,91555550,9270495113712,2889792254887010
2025-12-02,556.85,566.03,556.02,565.72,120256512,10018869965678,2944680184579070
2025-12-03,567.89,573.84,564.19,570.79,110177043,11298810281757,2975316095670310
2025-12-04,567.36,569.76,562.52,569.75,109687900,10695868421185,2969482745018210
2025-12-05,568.41,580.81,565.48,580.81,126764237,12851299789834,3024063497138930
2025-12-08,581.89,589.17,577.3,589.17,111139438,12237454646467,3067614145807820
2025-12-09,585.3,588.43,582.63,585.76,98607760,10504255139757,3056839798205190
2025-12-10,588.23,591.74,583.64,585.52,87321761,9841793552860,3051424126782140
2025-12-11,589.39,591.32,579.83,580.16,154793989,15299316939237,3029737291884700
2025-12-12,581.71,588.71,581.14,587.93,134283074,13318462341514,3101609734729490
2025-12-15,570.01,579.52,569.39,574.49,124380104,12469513585877,3050747205377220
2025-12-16,574.54,575.5,561.33,561.52,142672531,13799757001370,2980468687222580
2025-12-17,564.59,573.54,561.4,572.62,124794483,10834007609334,3025847310992840
2025-12-18,563.33,570.54,562.1,565.65,109568405,10948986783243,2978381228297330
2025-12-19,575.27,575.27,566.19,568.4,152159436,13851009319485,2998095761094870
2025-12-22,580.63,582.73,578.85,582.73,122019156,11119622785488,3064976517049570
2025-12-23,585.43,588.56,583.55,584.64,135790531,11048668360396,3075083820166230
