security_id,market,observation_end_date,open_days_target,observed_open_days,halt_days_90,zero_volume_days_90,missing_days_90,traded_days_90,seasoning_days,seasoning_status,adtv90_zero,adtv90_exclude_halt,official_adtv90,official_adtv90_method,rule_version,adtv90_status,data_cutoff_date,selection_date,review_cycle_id
010120,KR,2026-03-24,90,90,0,0,0,90,113,SEASONED,114736102244.44444,114736102244.44444,114736102244.44444,ZERO,v0.9-pilot,CALCULATED,2026-03-24,2026-03-31,RC-2026-03-31
012450,KR,2026-03-24,90,90,0,0,0,90,113,SEASONED,315647663104.8889,315647663104.8889,315647663104.8889,ZERO,v0.9-pilot,CALCULATED,2026-03-24,2026-03-31,RC-2026-03-31
018260,KR,2026-03-24,90,90,0,0,0,90,113,SEASONED,34802016502.48889,34802016502.48889,34802016502.48889,ZERO,v0.9-pilot,CALCULATED,2026-03-24,2026-03-31,RC-2026-03-31
064350,KR,2026-03-24,90,90,0,0,0,90,113,SEASONED,173115174625.66666,173115174625.66666,173115174625.66666,ZERO,v0.9-pilot,CALCULATED,2026-03-24,2026-03-31,RC-2026-03-31
064400,KR,2026-03-24,90,90,0,0,0,90,113,SEASONED,84961405191.66667,84961405191.66667,84961405191.66667,ZERO,v0.9-pilot,CALCULATED,2026-03-24,2026-03-31,RC-2026-03-31
079550,KR,2026-03-24,90,90,0,0,0,90,113,SEASONED,157231232734.28888,157231232734.28888,157231232734.28888,ZERO,v0.9-pilot,CALCULATED,2026-03-24,2026-03-31,RC-2026-03-31
267260,KR,2026-03-24,90,90,0,0,0,90,113,SEASONED,143244175953.44446,143244175953.44446,143244175953.44446,ZERO,v0.9-pilot,CALCULATED,2026-03-24,2026-03-31,RC-2026-03-31
298040,KR,2026-03-24,90,90,0,0,0,90,113,SEASONED,131614762060.2111,131614762060.2111,131614762060.2111,ZERO,v0.9-pilot,CALCULATED,2026-03-24,2026-03-31,RC-2026-03-31
307950,KR,2026-03-24,90,90,0,0,0,90,113,SEASONED,133374715887.22223,133374715887.22223,133374715887.22223,ZERO,v0.9-pilot,CALCULATED,2026-03-24,2026-03-31,RC-2026-03-31
ALAB,US,2026-03-24,90,90,0,0,0,90,120,SEASONED,809167081.2833333,809167081.2833333,809167081.2833333,ZERO,v0.9-pilot,CALCULATED,2026-03-24,2026-03-31,RC-2026-03-31
ANET,US,2026-03-24,90,90,0,0,0,90,120,SEASONED,1029252722.6555556,1029252722.6555556,1029252722.6555556,ZERO,v0.9-pilot,CALCULATED,2026-03-24,2026-03-31,RC-2026-03-31
APH,US,2026-03-24,90,90,0,0,0,90,120,SEASONED,1319005714.4333334,1319005714.4333334,1319005714.4333334,ZERO,v0.9-pilot,CALCULATED,2026-03-24,2026-03-31,RC-2026-03-31
ATI,US,2026-03-24,90,90,0,0,0,90,120,SEASONED,234033350.23333332,234033350.23333332,234033350.23333332,ZERO,v0.9-pilot,CALCULATED,2026-03-24,2026-03-31,RC-2026-03-31
ETN,US,2026-03-24,90,90,0,0,0,90,120,SEASONED,1032999790.1333333,1032999790.1333333,1032999790.1333333,ZERO,v0.9-pilot,CALCULATED,2026-03-24,2026-03-31,RC-2026-03-31
GEV,US,2026-03-24,90,90,0,0,0,90,120,SEASONED,2179062747.977778,2179062747.977778,2179062747.977778,ZERO,v0.9-pilot,CALCULATED,2026-03-24,2026-03-31,RC-2026-03-31
KTOS,US,2026-03-24,90,90,0,0,0,90,120,SEASONED,329292368.9777778,329292368.9777778,329292368.9777778,ZERO,v0.9-pilot,CALCULATED,2026-03-24,2026-03-31,RC-2026-03-31
SPCX,US,2026-03-24,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2026-03-24,2026-03-31,RC-2026-03-31
TER,US,2026-03-24,90,90,0,0,0,90,120,SEASONED,823889178.5111111,823889178.5111111,823889178.5111111,ZERO,v0.9-pilot,CALCULATED,2026-03-24,2026-03-31,RC-2026-03-31
010120,KR,2026-06-23,90,90,3,0,0,87,171,SEASONED,241828532899.13333,250167447826.68967,241828532899.13333,ZERO,v0.9-pilot,CALCULATED,2026-06-23,2026-06-30,RC-2026-06-30
012450,KR,2026-06-23,90,90,0,0,0,90,174,SEASONED,361732618158.8778,361732618158.8778,361732618158.8778,ZERO,v0.9-pilot,CALCULATED,2026-06-23,2026-06-30,RC-2026-06-30
018260,KR,2026-06-23,90,90,0,0,0,90,174,SEASONED,111520555386.91112,111520555386.91112,111520555386.91112,ZERO,v0.9-pilot,CALCULATED,2026-06-23,2026-06-30,RC-2026-06-30
064350,KR,2026-06-23,90,90,0,0,0,90,174,SEASONED,184593192340.52222,184593192340.52222,184593192340.52222,ZERO,v0.9-pilot,CALCULATED,2026-06-23,2026-06-30,RC-2026-06-30
064400,KR,2026-06-23,90,90,0,0,0,90,174,SEASONED,142895054352.22223,142895054352.22223,142895054352.22223,ZERO,v0.9-pilot,CALCULATED,2026-06-23,2026-06-30,RC-2026-06-30
079550,KR,2026-06-23,90,90,0,0,0,90,174,SEASONED,320645064829.6222,320645064829.6222,320645064829.6222,ZERO,v0.9-pilot,CALCULATED,2026-06-23,2026-06-30,RC-2026-06-30
267260,KR,2026-06-23,90,90,0,0,0,90,174,SEASONED,192322301520.33334,192322301520.33334,192322301520.33334,ZERO,v0.9-pilot,CALCULATED,2026-06-23,2026-06-30,RC-2026-06-30
298040,KR,2026-06-23,90,90,0,0,0,90,174,SEASONED,178480884780.33334,178480884780.33334,178480884780.33334,ZERO,v0.9-pilot,CALCULATED,2026-06-23,2026-06-30,RC-2026-06-30
307950,KR,2026-06-23,90,90,0,0,0,90,174,SEASONED,131659544538.88889,131659544538.88889,131659544538.88889,ZERO,v0.9-pilot,CALCULATED,2026-06-23,2026-06-30,RC-2026-06-30
ALAB,US,2026-06-23,90,90,0,0,0,90,182,SEASONED,1252321402.711111,1252321402.711111,1252321402.711111,ZERO,v0.9-pilot,CALCULATED,2026-06-23,2026-06-30,RC-2026-06-30
ANET,US,2026-06-23,90,90,0,0,0,90,182,SEASONED,1314153704.2333333,1314153704.2333333,1314153704.2333333,ZERO,v0.9-pilot,CALCULATED,2026-06-23,2026-06-30,RC-2026-06-30
APH,US,2026-06-23,90,90,0,0,0,90,182,SEASONED,1342697168.8555555,1342697168.8555555,1342697168.8555555,ZERO,v0.9-pilot,CALCULATED,2026-06-23,2026-06-30,RC-2026-06-30
ATI,US,2026-06-23,90,90,0,0,0,90,182,SEASONED,317626170.95555556,317626170.95555556,317626170.95555556,ZERO,v0.9-pilot,CALCULATED,2026-06-23,2026-06-30,RC-2026-06-30
ETN,US,2026-06-23,90,90,0,0,0,90,182,SEASONED,1016364377.2111111,1016364377.2111111,1016364377.2111111,ZERO,v0.9-pilot,CALCULATED,2026-06-23,2026-06-30,RC-2026-06-30
GEV,US,2026-06-23,90,90,0,0,0,90,182,SEASONED,2508603588.3164444,2508603588.3164444,2508603588.3164444,ZERO,v0.9-pilot,CALCULATED,2026-06-23,2026-06-30,RC-2026-06-30
KTOS,US,2026-06-23,90,90,0,0,0,90,182,SEASONED,315154781.2222222,315154781.2222222,315154781.2222222,ZERO,v0.9-pilot,CALCULATED,2026-06-23,2026-06-30,RC-2026-06-30
SPCX,US,2026-06-23,90,7,0,0,0,7,7,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2026-06-23,2026-06-30,RC-2026-06-30
TER,US,2026-06-23,90,90,0,0,0,90,182,SEASONED,1322404734.1888888,1322404734.1888888,1322404734.1888888,ZERO,v0.9-pilot,CALCULATED,2026-06-23,2026-06-30,RC-2026-06-30
