security_id,entity_id,market,primary_theme,gate_status,observation_end_date,open_days_target,observed_open_days,halt_days_90,zero_volume_days_90,missing_days_90,traded_days_90,seasoning_days,seasoning_status,adtv90_zero,adtv90_exclude_halt,official_adtv90,official_adtv90_method,rule_version,adtv90_status,data_cutoff_date,selection_date,review_cycle_id,exclusion_reasons,selected_flag,selection_status,composition_method,cap_scenario,selection_rule_version,cell_id
012450,,KR,SPACE_DEFENSE,CANDIDATE,2026-06-23,90,90,0,0,0,90,174,SEASONED,361732618158.8778,361732618158.8778,361732618158.8778,ZERO,v0.9-pilot,CALCULATED,2026-06-23,2026-06-30,RC-2026-06-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
064350,,KR,SPACE_DEFENSE,CANDIDATE,2026-06-23,90,90,0,0,0,90,174,SEASONED,184593192340.52222,184593192340.52222,184593192340.52222,ZERO,v0.9-pilot,CALCULATED,2026-06-23,2026-06-30,RC-2026-06-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
079550,,KR,SPACE_DEFENSE,CANDIDATE,2026-06-23,90,90,0,0,0,90,174,SEASONED,320645064829.6222,320645064829.6222,320645064829.6222,ZERO,v0.9-pilot,CALCULATED,2026-06-23,2026-06-30,RC-2026-06-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
064400,,KR,AI_ROBOTICS,CANDIDATE,2026-06-23,90,90,0,0,0,90,174,SEASONED,142895054352.22223,142895054352.22223,142895054352.22223,ZERO,v0.9-pilot,CALCULATED,2026-06-23,2026-06-30,RC-2026-06-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
018260,,KR,AI_ROBOTICS,CANDIDATE,2026-06-23,90,90,0,0,0,90,174,SEASONED,111520555386.91112,111520555386.91112,111520555386.91112,ZERO,v0.9-pilot,CALCULATED,2026-06-23,2026-06-30,RC-2026-06-30,LIQUIDITY_BELOW_P10,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
307950,,KR,AI_ROBOTICS,CANDIDATE,2026-06-23,90,90,0,0,0,90,174,SEASONED,131659544538.88889,131659544538.88889,131659544538.88889,ZERO,v0.9-pilot,CALCULATED,2026-06-23,2026-06-30,RC-2026-06-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
010120,,KR,ENERGY_POWER,CANDIDATE,2026-06-23,90,90,3,0,0,87,171,SEASONED,241828532899.13333,250167447826.68967,241828532899.13333,ZERO,v0.9-pilot,CALCULATED,2026-06-23,2026-06-30,RC-2026-06-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
267260,,KR,ENERGY_POWER,CANDIDATE,2026-06-23,90,90,0,0,0,90,174,SEASONED,192322301520.33334,192322301520.33334,192322301520.33334,ZERO,v0.9-pilot,CALCULATED,2026-06-23,2026-06-30,RC-2026-06-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
298040,,KR,ENERGY_POWER,CANDIDATE,2026-06-23,90,90,0,0,0,90,174,SEASONED,178480884780.33334,178480884780.33334,178480884780.33334,ZERO,v0.9-pilot,CALCULATED,2026-06-23,2026-06-30,RC-2026-06-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
TER,E_TER,US,AI_ROBOTICS,CANDIDATE,2026-06-23,90,90,0,0,0,90,182,SEASONED,1322404734.1888888,1322404734.1888888,1322404734.1888888,ZERO,v0.9-pilot,CALCULATED,2026-06-23,2026-06-30,RC-2026-06-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_AI_ROBOTICS
