security_id,market,observation_end_date,open_days_target,observed_open_days,halt_days_90,zero_volume_days_90,missing_days_90,traded_days_90,seasoning_days,seasoning_status,adtv90_zero,adtv90_exclude_halt,official_adtv90,official_adtv90_method,rule_version,adtv90_status,review_cycle_id
010120,KR,2026-03-31,90,90,0,0,0,90,118,SEASONED,114229271088.88889,114229271088.88889,114229271088.88889,ZERO,v0.9-pilot,CALCULATED,RC-2026-03-31
012450,KR,2026-03-31,90,90,0,0,0,90,118,SEASONED,322298375954.8222,322298375954.8222,322298375954.8222,ZERO,v0.9-pilot,CALCULATED,RC-2026-03-31
018260,KR,2026-03-31,90,90,0,0,0,90,118,SEASONED,34301690381.377777,34301690381.377777,34301690381.377777,ZERO,v0.9-pilot,CALCULATED,RC-2026-03-31
064350,KR,2026-03-31,90,90,0,0,0,90,118,SEASONED,172106781525.1111,172106781525.1111,172106781525.1111,ZERO,v0.9-pilot,CALCULATED,RC-2026-03-31
064400,KR,2026-03-31,90,90,0,0,0,90,118,SEASONED,83817198012.22223,83817198012.22223,83817198012.22223,ZERO,v0.9-pilot,CALCULATED,RC-2026-03-31
079550,KR,2026-03-31,90,90,0,0,0,90,118,SEASONED,170174931845.4,170174931845.4,170174931845.4,ZERO,v0.9-pilot,CALCULATED,RC-2026-03-31
267260,KR,2026-03-31,90,90,0,0,0,90,118,SEASONED,141170088695.04443,141170088695.04443,141170088695.04443,ZERO,v0.9-pilot,CALCULATED,RC-2026-03-31
298040,KR,2026-03-31,90,90,0,0,0,90,118,SEASONED,132869683521.32222,132869683521.32222,132869683521.32222,ZERO,v0.9-pilot,CALCULATED,RC-2026-03-31
307950,KR,2026-03-31,90,90,0,0,0,90,118,SEASONED,133478399757.77777,133478399757.77777,133478399757.77777,ZERO,v0.9-pilot,CALCULATED,RC-2026-03-31
ALAB,US,2026-03-31,90,90,0,0,0,90,125,SEASONED,785609104.1944444,785609104.1944444,785609104.1944444,ZERO,v0.9-pilot,CALCULATED,RC-2026-03-31
ANET,US,2026-03-31,90,90,0,0,0,90,125,SEASONED,1000675328.6222222,1000675328.6222222,1000675328.6222222,ZERO,v0.9-pilot,CALCULATED,RC-2026-03-31
APH,US,2026-03-31,90,90,0,0,0,90,125,SEASONED,1323863165.211111,1323863165.211111,1323863165.211111,ZERO,v0.9-pilot,CALCULATED,RC-2026-03-31
ATI,US,2026-03-31,90,90,0,0,0,90,125,SEASONED,243924255.83333334,243924255.83333334,243924255.83333334,ZERO,v0.9-pilot,CALCULATED,RC-2026-03-31
ETN,US,2026-03-31,90,90,0,0,0,90,125,SEASONED,1025620637.1222222,1025620637.1222222,1025620637.1222222,ZERO,v0.9-pilot,CALCULATED,RC-2026-03-31
GEV,US,2026-03-31,90,90,0,0,0,90,125,SEASONED,2212006842.211111,2212006842.211111,2212006842.211111,ZERO,v0.9-pilot,CALCULATED,RC-2026-03-31
KTOS,US,2026-03-31,90,90,0,0,0,90,125,SEASONED,336854177.62222224,336854177.62222224,336854177.62222224,ZERO,v0.9-pilot,CALCULATED,RC-2026-03-31
SPCX,US,2026-03-31,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,RC-2026-03-31
TER,US,2026-03-31,90,90,0,0,0,90,125,SEASONED,841837201.5555556,841837201.5555556,841837201.5555556,ZERO,v0.9-pilot,CALCULATED,RC-2026-03-31
010120,KR,2026-06-30,90,90,3,0,0,87,176,SEASONED,246237328341.9111,254728270698.52875,246237328341.9111,ZERO,v0.9-pilot,CALCULATED,RC-2026-06-30
012450,KR,2026-06-30,90,90,0,0,0,90,179,SEASONED,355499472791.24445,355499472791.24445,355499472791.24445,ZERO,v0.9-pilot,CALCULATED,RC-2026-06-30
018260,KR,2026-06-30,90,90,0,0,0,90,179,SEASONED,114949862441.91112,114949862441.91112,114949862441.91112,ZERO,v0.9-pilot,CALCULATED,RC-2026-06-30
064350,KR,2026-06-30,90,90,0,0,0,90,179,SEASONED,183116504812.72223,183116504812.72223,183116504812.72223,ZERO,v0.9-pilot,CALCULATED,RC-2026-06-30
064400,KR,2026-06-30,90,90,0,0,0,90,179,SEASONED,141160178134.44446,141160178134.44446,141160178134.44446,ZERO,v0.9-pilot,CALCULATED,RC-2026-06-30
079550,KR,2026-06-30,90,90,0,0,0,90,179,SEASONED,323677553026.8444,323677553026.8444,323677553026.8444,ZERO,v0.9-pilot,CALCULATED,RC-2026-06-30
267260,KR,2026-06-30,90,90,0,0,0,90,179,SEASONED,190198917181.44446,190198917181.44446,190198917181.44446,ZERO,v0.9-pilot,CALCULATED,RC-2026-06-30
298040,KR,2026-06-30,90,90,0,0,0,90,179,SEASONED,181620237458.1111,181620237458.1111,181620237458.1111,ZERO,v0.9-pilot,CALCULATED,RC-2026-06-30
307950,KR,2026-06-30,90,90,0,0,0,90,179,SEASONED,129860085450.0,129860085450.0,129860085450.0,ZERO,v0.9-pilot,CALCULATED,RC-2026-06-30
ALAB,US,2026-06-30,90,90,0,0,0,90,187,SEASONED,1337979667.3,1337979667.3,1337979667.3,ZERO,v0.9-pilot,CALCULATED,RC-2026-06-30
ANET,US,2026-06-30,90,90,0,0,0,90,187,SEASONED,1300330887.3888888,1300330887.3888888,1300330887.3888888,ZERO,v0.9-pilot,CALCULATED,RC-2026-06-30
APH,US,2026-06-30,90,90,0,0,0,90,187,SEASONED,1369426930.3777778,1369426930.3777778,1369426930.3777778,ZERO,v0.9-pilot,CALCULATED,RC-2026-06-30
ATI,US,2026-06-30,90,90,0,0,0,90,187,SEASONED,325856322.65555555,325856322.65555555,325856322.65555555,ZERO,v0.9-pilot,CALCULATED,RC-2026-06-30
ETN,US,2026-06-30,90,90,0,0,0,90,187,SEASONED,1021627149.1555556,1021627149.1555556,1021627149.1555556,ZERO,v0.9-pilot,CALCULATED,RC-2026-06-30
GEV,US,2026-06-30,90,90,0,0,0,90,187,SEASONED,2603931086.1942225,2603931086.1942225,2603931086.1942225,ZERO,v0.9-pilot,CALCULATED,RC-2026-06-30
KTOS,US,2026-06-30,90,90,0,0,0,90,187,SEASONED,324260762.7,324260762.7,324260762.7,ZERO,v0.9-pilot,CALCULATED,RC-2026-06-30
SPCX,US,2026-06-30,90,12,0,0,0,12,12,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,RC-2026-06-30
TER,US,2026-06-30,90,90,0,0,0,90,187,SEASONED,1433063755.6111112,1433063755.6111112,1433063755.6111112,ZERO,v0.9-pilot,CALCULATED,RC-2026-06-30
