security_id,entity_id,market,primary_theme,gate_status,observation_end_date,open_days_target,observed_open_days,halt_days_90,zero_volume_days_90,missing_days_90,traded_days_90,seasoning_days,seasoning_status,adtv90_zero,adtv90_exclude_halt,official_adtv90,official_adtv90_method,rule_version,adtv90_status,review_cycle_id,exclusion_reasons,selected_flag,selection_status,composition_method,cap_scenario,selection_rule_version,cell_id
012450,,KR,SPACE_DEFENSE,CANDIDATE,2026-06-30,90,90,0,0,0,90,179,SEASONED,355499472791.24445,355499472791.24445,355499472791.24445,ZERO,v0.9-pilot,CALCULATED,RC-2026-06-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
064350,,KR,SPACE_DEFENSE,CANDIDATE,2026-06-30,90,90,0,0,0,90,179,SEASONED,183116504812.72223,183116504812.72223,183116504812.72223,ZERO,v0.9-pilot,CALCULATED,RC-2026-06-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
079550,,KR,SPACE_DEFENSE,CANDIDATE,2026-06-30,90,90,0,0,0,90,179,SEASONED,323677553026.8444,323677553026.8444,323677553026.8444,ZERO,v0.9-pilot,CALCULATED,RC-2026-06-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
064400,,KR,AI_ROBOTICS,CANDIDATE,2026-06-30,90,90,0,0,0,90,179,SEASONED,141160178134.44446,141160178134.44446,141160178134.44446,ZERO,v0.9-pilot,CALCULATED,RC-2026-06-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
018260,,KR,AI_ROBOTICS,CANDIDATE,2026-06-30,90,90,0,0,0,90,179,SEASONED,114949862441.91112,114949862441.91112,114949862441.91112,ZERO,v0.9-pilot,CALCULATED,RC-2026-06-30,LIQUIDITY_BELOW_P10,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
307950,,KR,AI_ROBOTICS,CANDIDATE,2026-06-30,90,90,0,0,0,90,179,SEASONED,129860085450.0,129860085450.0,129860085450.0,ZERO,v0.9-pilot,CALCULATED,RC-2026-06-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
010120,,KR,ENERGY_POWER,CANDIDATE,2026-06-30,90,90,3,0,0,87,176,SEASONED,246237328341.9111,254728270698.52875,246237328341.9111,ZERO,v0.9-pilot,CALCULATED,RC-2026-06-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
267260,,KR,ENERGY_POWER,CANDIDATE,2026-06-30,90,90,0,0,0,90,179,SEASONED,190198917181.44446,190198917181.44446,190198917181.44446,ZERO,v0.9-pilot,CALCULATED,RC-2026-06-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
298040,,KR,ENERGY_POWER,CANDIDATE,2026-06-30,90,90,0,0,0,90,179,SEASONED,181620237458.1111,181620237458.1111,181620237458.1111,ZERO,v0.9-pilot,CALCULATED,RC-2026-06-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
TER,E_TER,US,AI_ROBOTICS,CANDIDATE,2026-06-30,90,90,0,0,0,90,187,SEASONED,1433063755.6111112,1433063755.6111112,1433063755.6111112,ZERO,v0.9-pilot,CALCULATED,RC-2026-06-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_AI_ROBOTICS
