market,market_date,is_market_open
KR,2025-10-01,1
US,2025-10-01,1
KR,2025-10-02,1
US,2025-10-02,1
KR,2025-10-03,0
US,2025-10-03,1
KR,2025-10-06,0
US,2025-10-06,1
KR,2025-10-07,0
US,2025-10-07,1
KR,2025-10-08,0
US,2025-10-08,1
KR,2025-10-09,0
US,2025-10-09,1
KR,2025-10-10,1
US,2025-10-10,1
KR,2025-10-13,1
US,2025-10-13,1
KR,2025-10-14,1
US,2025-10-14,1
KR,2025-10-15,1
US,2025-10-15,1
KR,2025-10-16,1
US,2025-10-16,1
KR,2025-10-17,1
US,2025-10-17,1
KR,2025-10-20,1
US,2025-10-20,1
KR,2025-10-21,1
US,2025-10-21,1
KR,2025-10-22,1
US,2025-10-22,1
KR,2025-10-23,1
US,2025-10-23,1
KR,2025-10-24,1
US,2025-10-24,1
KR,2025-10-27,1
US,2025-10-27,1
KR,2025-10-28,1
US,2025-10-28,1
KR,2025-10-29,1
US,2025-10-29,1
KR,2025-10-30,1
US,2025-10-30,1
KR,2025-10-31,1
US,2025-10-31,1
KR,2025-11-03,1
US,2025-11-03,1
KR,2025-11-04,1
US,2025-11-04,1
KR,2025-11-05,1
US,2025-11-05,1
KR,2025-11-06,1
US,2025-11-06,1
KR,2025-11-07,1
US,2025-11-07,1
KR,2025-11-10,1
US,2025-11-10,1
KR,2025-11-11,1
US,2025-11-11,1
KR,2025-11-12,1
US,2025-11-12,1
KR,2025-11-13,1
US,2025-11-13,1
KR,2025-11-14,1
US,2025-11-14,1
KR,2025-11-17,1
US,2025-11-17,1
KR,2025-11-18,1
US,2025-11-18,1
KR,2025-11-19,1
US,2025-11-19,1
KR,2025-11-20,1
US,2025-11-20,1
KR,2025-11-21,1
US,2025-11-21,1
KR,2025-11-24,1
US,2025-11-24,1
KR,2025-11-25,1
US,2025-11-25,1
KR,2025-11-26,1
US,2025-11-26,1
KR,2025-11-27,1
US,2025-11-27,0
KR,2025-11-28,1
US,2025-11-28,1
KR,2025-12-01,1
US,2025-12-01,1
KR,2025-12-02,1
US,2025-12-02,1
KR,2025-12-03,1
US,2025-12-03,1
KR,2025-12-04,1
US,2025-12-04,1
KR,2025-12-05,1
US,2025-12-05,1
KR,2025-12-08,1
US,2025-12-08,1
KR,2025-12-09,1
US,2025-12-09,1
KR,2025-12-10,1
US,2025-12-10,1
KR,2025-12-11,1
US,2025-12-11,1
KR,2025-12-12,1
US,2025-12-12,1
KR,2025-12-15,1
US,2025-12-15,1
KR,2025-12-16,1
US,2025-12-16,1
KR,2025-12-17,1
US,2025-12-17,1
KR,2025-12-18,1
US,2025-12-18,1
KR,2025-12-19,1
US,2025-12-19,1
KR,2025-12-22,1
US,2025-12-22,1
KR,2025-12-23,1
US,2025-12-23,1
KR,2025-12-24,1
US,2025-12-24,1
KR,2025-12-25,0
US,2025-12-25,0
KR,2025-12-26,1
US,2025-12-26,1
KR,2025-12-29,1
US,2025-12-29,1
KR,2025-12-30,1
US,2025-12-30,1
KR,2025-12-31,0
US,2025-12-31,1
KR,2026-01-01,0
US,2026-01-01,0
KR,2026-01-02,1
US,2026-01-02,1
KR,2026-01-05,1
US,2026-01-05,1
KR,2026-01-06,1
US,2026-01-06,1
KR,2026-01-07,1
US,2026-01-07,1
KR,2026-01-08,1
US,2026-01-08,1
KR,2026-01-09,1
US,2026-01-09,1
