market_date,fx_rate
2025-10-01,1403.2
2025-10-02,1406.0
2025-10-10,1401.9
2025-10-13,1420.5
2025-10-14,1427.7
2025-10-15,1428.4
2025-10-16,1424.4
2025-10-17,1419.1
2025-10-20,1419.5
2025-10-21,1420.2
2025-10-22,1423.7
2025-10-23,1430.1
2025-10-24,1436.6
2025-10-27,1436.1
2025-10-28,1432.5
2025-10-29,1434.3
2025-10-30,1433.0
2025-10-31,1423.2
2025-11-03,1427.4
2025-11-04,1429.0
2025-11-05,1437.7
2025-11-06,1447.0
2025-11-07,1445.6
2025-11-10,1454.0
2025-11-11,1453.7
2025-11-12,1463.2
2025-11-13,1466.4
2025-11-14,1469.5
2025-11-17,1458.5
2025-11-18,1458.3
2025-11-19,1465.2
2025-11-20,1465.0
2025-11-21,1468.4
2025-11-24,1472.0
2025-11-25,1473.5
2025-11-26,1473.5
2025-11-27,1462.7
2025-11-28,1464.8
2025-12-01,1465.9
2025-12-02,1469.1
2025-12-03,1469.6
2025-12-04,1468.7
2025-12-05,1471.5
2025-12-08,1472.1
2025-12-09,1469.0
2025-12-10,1470.4
2025-12-11,1470.4
2025-12-12,1469.5
2025-12-15,1472.5
2025-12-16,1474.1
2025-12-17,1472.4
2025-12-18,1478.6
2025-12-19,1477.2
2025-12-22,1477.8
2025-12-23,1478.9
2025-12-24,1483.4
2025-12-26,1460.6
2025-12-29,1442.3
2025-12-30,1433.9
2025-12-31,1434.9
2026-01-02,1434.9
2026-01-05,1442.1
2026-01-06,1446.8
2026-01-07,1445.7
2026-01-08,1448.3
2026-01-09,1449.4
2026-01-12,1455.7
2026-01-13,1464.1
2026-01-14,1472.8
2026-01-15,1477.5
2026-01-16,1469.7
2026-01-19,1473.5
2026-01-20,1473.6
2026-01-21,1477.0
2026-01-22,1472.8
2026-01-23,1468.4
2026-01-26,1467.2
2026-01-27,1442.8
2026-01-28,1448.8
2026-01-29,1428.6
2026-01-30,1427.0
2026-02-02,1436.7
2026-02-03,1457.3
2026-02-04,1449.0
2026-02-05,1451.2
2026-02-06,1464.1
2026-02-09,1470.3
2026-02-10,1464.3
2026-02-11,1457.7
2026-02-12,1454.4
2026-02-13,1443.4
2026-02-19,1443.1
2026-02-20,1450.7
2026-02-23,1448.7
2026-02-24,1442.0
2026-02-25,1445.8
2026-02-26,1435.3
2026-02-27,1424.5
2026-03-03,1435.4
2026-03-04,1464.5
2026-03-05,1478.8
2026-03-06,1464.3
2026-03-09,1474.5
2026-03-10,1493.1
2026-03-11,1472.8
2026-03-12,1467.3
2026-03-13,1479.8
2026-03-16,1489.5
2026-03-17,1496.0
2026-03-18,1491.6
2026-03-19,1486.0
2026-03-20,1499.7
2026-03-23,1494.9
2026-03-24,1509.6
2026-03-25,1498.3
2026-03-26,1495.6
2026-03-27,1506.2
2026-03-30,1508.1
2026-03-31,1513.4
2026-04-01,1530.5
2026-04-02,1507.8
2026-04-03,1518.8
2026-04-06,1507.6
2026-04-07,1507.2
2026-04-08,1506.8
2026-04-09,1476.1
2026-04-10,1481.1
2026-04-13,1479.8
2026-04-14,1489.8
2026-04-15,1481.4
2026-04-16,1473.1
2026-04-17,1472.6
2026-04-20,1480.0
2026-04-21,1475.6
2026-04-22,1470.8
2026-04-23,1477.6
2026-04-24,1480.6
2026-04-27,1482.9
2026-04-28,1473.1
2026-04-29,1473.3
2026-04-30,1476.1
2026-05-04,1484.8
2026-05-06,1470.5
2026-05-07,1456.8
2026-05-08,1450.8
2026-05-11,1466.0
2026-05-12,1473.0
2026-05-13,1484.3
2026-05-14,1495.1
2026-05-15,1491.8
2026-05-18,1499.8
2026-05-19,1503.4
2026-05-20,1503.8
2026-05-21,1509.7
2026-05-22,1503.5
2026-05-26,1513.3
2026-05-27,1507.9
2026-05-28,1501.6
2026-05-29,1505.8
2026-06-01,1503.2
2026-06-02,1511.3
2026-06-04,1515.6
2026-06-05,1528.6
2026-06-08,1543.0
2026-06-09,1546.5
2026-06-10,1518.4
2026-06-11,1522.4
2026-06-12,1527.0
2026-06-15,1520.4
2026-06-16,1510.0
2026-06-17,1513.5
2026-06-18,1512.8
2026-06-19,1523.4
2026-06-22,1535.0
2026-06-23,1535.7
2026-06-24,1537.2
2026-06-25,1538.3
2026-06-26,1545.3
2026-06-29,1544.2
2026-06-30,1541.5
2026-07-01,1548.4
