security_id,entity_id,market,primary_theme,gate_status,observation_end_date,open_days_target,observed_open_days,halt_days_90,zero_volume_days_90,missing_days_90,traded_days_90,seasoning_days,seasoning_status,adtv90_zero,adtv90_exclude_halt,official_adtv90,official_adtv90_method,rule_version,adtv90_status,review_cycle_id,exclusion_reasons,selected_flag,selection_status,composition_method,cap_scenario,selection_rule_version,cell_id
012450,,KR,SPACE_DEFENSE,CANDIDATE,2026-03-31,90,90,0,0,0,90,118,SEASONED,322298375954.8222,322298375954.8222,322298375954.8222,ZERO,v0.9-pilot,CALCULATED,RC-2026-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
064350,,KR,SPACE_DEFENSE,CANDIDATE,2026-03-31,90,90,0,0,0,90,118,SEASONED,172106781525.1111,172106781525.1111,172106781525.1111,ZERO,v0.9-pilot,CALCULATED,RC-2026-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
079550,,KR,SPACE_DEFENSE,CANDIDATE,2026-03-31,90,90,0,0,0,90,118,SEASONED,170174931845.4,170174931845.4,170174931845.4,ZERO,v0.9-pilot,CALCULATED,RC-2026-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
064400,,KR,AI_ROBOTICS,CANDIDATE,2026-03-31,90,90,0,0,0,90,118,SEASONED,83817198012.22223,83817198012.22223,83817198012.22223,ZERO,v0.9-pilot,CALCULATED,RC-2026-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
018260,,KR,AI_ROBOTICS,CANDIDATE,2026-03-31,90,90,0,0,0,90,118,SEASONED,34301690381.377777,34301690381.377777,34301690381.377777,ZERO,v0.9-pilot,CALCULATED,RC-2026-03-31,LIQUIDITY_BELOW_P10,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
307950,,KR,AI_ROBOTICS,CANDIDATE,2026-03-31,90,90,0,0,0,90,118,SEASONED,133478399757.77777,133478399757.77777,133478399757.77777,ZERO,v0.9-pilot,CALCULATED,RC-2026-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
010120,,KR,ENERGY_POWER,CANDIDATE,2026-03-31,90,90,0,0,0,90,118,SEASONED,114229271088.88889,114229271088.88889,114229271088.88889,ZERO,v0.9-pilot,CALCULATED,RC-2026-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
267260,,KR,ENERGY_POWER,CANDIDATE,2026-03-31,90,90,0,0,0,90,118,SEASONED,141170088695.04443,141170088695.04443,141170088695.04443,ZERO,v0.9-pilot,CALCULATED,RC-2026-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
298040,,KR,ENERGY_POWER,CANDIDATE,2026-03-31,90,90,0,0,0,90,118,SEASONED,132869683521.32222,132869683521.32222,132869683521.32222,ZERO,v0.9-pilot,CALCULATED,RC-2026-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
TER,E_TER,US,AI_ROBOTICS,CANDIDATE,2026-03-31,90,90,0,0,0,90,125,SEASONED,841837201.5555556,841837201.5555556,841837201.5555556,ZERO,v0.9-pilot,CALCULATED,RC-2026-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_AI_ROBOTICS
