market_date,index_level_asrun,index_level_corrected,benchmark_level,published_index_level,reproduction_rel_error
2026-04-01,999.999999999999,999.999999999999,1000.0,1000.0,1.0231815394945442e-15
2026-04-02,990.6211782390449,990.6211782390449,969.2511858798822,990.6211782390455,6.88579086853617e-16
2026-04-06,1020.053782639575,1020.053782639575,994.2001404375553,1020.0537826395756,5.572590370060222e-16
2026-04-07,1023.8015667579465,1023.8015667579465,1000.0273691193411,1023.8015667579472,6.662629248456376e-16
2026-04-08,1076.4959155091954,1076.4959155091954,1050.2449684370044,1076.4959155091965,1.056082388086356e-15
2026-04-09,1057.3073145850824,1057.3073145850824,1032.1315782672038,1057.3073145850833,8.601990066907266e-16
2026-04-10,1087.2174287580622,1087.2174287580622,1041.0092801597139,1087.2174287580629,6.274007464255686e-16
2026-04-13,1065.2556173079863,1115.4095495777876,1041.1994701971846,1065.255617307987,6.403355356655971e-16
2026-04-14,1080.9711436770367,1132.9162878136165,1066.5494659910357,1080.9711436770374,6.310261197254439e-16
2026-04-15,1081.1959089283048,1133.4769052899057,1079.5009452154002,1081.1959089283057,8.411932511605878e-16
2026-04-16,1090.2360173001537,1143.020791999286,1090.9828757381938,1090.2360173001543,6.25663632007766e-16
2026-04-17,1085.1178677666137,1137.3149010719594,1093.4534370166105,1085.1178677666144,6.286146847195827e-16
2026-04-20,1087.5183235983864,1139.0716401391082,1098.0467540365923,1087.5183235983873,8.363028760412851e-16
2026-04-21,1097.6987211102187,1149.3919760780327,1109.2863085842769,1097.6987211102191,4.1427337222961315e-16
2026-04-22,1127.1044698726744,1181.456554955238,1113.937252708209,1127.1044698726753,8.069302589809358e-16
2026-04-23,1130.8171705300747,1191.5504478880375,1120.8823519723187,1130.8171705300754,6.032107082437996e-16
2026-04-24,1146.7437674151395,1210.1358748878515,1123.3699335890794,1146.7437674151402,5.948329920878978e-16
2026-04-27,1148.853937898864,1220.3624741429164,1139.1221328886966,1148.8539378988646,5.93740425851893e-16
2026-04-28,1129.4501415124391,1202.6379388815965,1134.9813801077873,1129.4501415124396,4.026272025407999e-16
2026-04-29,1129.7828655662388,1206.1892467585137,1138.9163960783321,1129.782865566239,2.0125431388028179e-16
2026-04-30,1140.480552209145,1218.286317672341,1136.93745861545,1140.4805522091456,5.980996563320672e-16
2026-05-04,1154.6456875441993,1236.929482674342,1174.6514416498128,1154.6456875442002,7.876829330279835e-16
2026-05-06,1164.360241250549,1252.661388745651,1230.7093873527383,1164.3602412505495,3.9055554696547785e-16
2026-05-07,1109.61843201494,1198.7592100725947,1235.4988527852,1109.6184320149405,4.098231768380909e-16
2026-05-08,1131.2775354723447,1218.8789908319864,1238.20001269721,1131.277535472345,4.019768241014282e-16
2026-05-11,1145.2367449376682,1230.3193086096524,1281.5035082159839,1145.236744937669,7.941543142002736e-16
2026-05-12,1137.716656383522,1218.601067242744,1265.5959562900705,1137.7166563835226,5.995526412507353e-16
2026-05-13,1155.3715454277608,1235.136448870246,1295.1145205788514,1155.3715454277617,7.871880741499475e-16
2026-05-14,1184.210738223587,1262.576257395151,1317.361636081875,1184.2107382235877,5.76013208048538e-16
2026-05-15,1136.2296393801741,1208.7177446138712,1259.263697958828,1136.2296393801748,6.003372933501368e-16
2026-05-18,1105.6777974386287,1176.626579974313,1267.3233794055893,1105.677797438629,4.112837862349361e-16
2026-05-19,1090.8280710859137,1158.9780850797565,1241.0149376029676,1090.8280710859142,4.168826994283025e-16
2026-05-20,1118.154029224245,1184.904658947167,1243.423605386326,1118.1540292242455,4.0669472988614937e-16
2026-05-21,1175.6999122207897,1251.6864781317886,1308.0429390514814,1175.6999122207903,5.801829354917885e-16
2026-05-22,1206.3086954062055,1284.9540914319539,1308.710940576481,1206.3086954062062,5.65461418729144e-16
2026-05-26,1229.2394990442795,1309.0044024867645,1337.4362795375237,1229.23949904428,3.6994202613894617e-16
2026-05-27,1256.3470231805497,1329.534820549707,1358.8287490543669,1256.3470231805504,5.429399789580813e-16
2026-05-28,1265.1147149893445,1334.1043595457395,1356.0306812106558,1265.1147149893452,5.391772131394748e-16
2026-05-29,1330.3005702840221,1397.8908305694963,1389.6216607417261,1330.300570284023,6.836760970332806e-16
2026-06-01,1366.8715816936942,1441.5987017608647,1425.0054014163347,1366.8715816936951,6.653841618727418e-16
2026-06-02,1358.2211660771306,1425.811426362605,1433.7943884283236,1358.2211660771316,6.696219470646058e-16
2026-06-04,1329.7961008128725,1396.8266073899788,1416.9039683908693,1329.7961008128734,6.839354553806973e-16
2026-06-05,1258.9455883407693,1322.477634240573,1355.7785850360146,1258.9455883407695,1.806064356942541e-16
2026-06-08,1234.088075519368,1292.302461189673,1294.9805034253238,1234.0880755193684,3.6848857055448235e-16
2026-06-09,1219.603563648371,1281.0365331417936,1360.9916554335232,1219.6035636483718,7.457297837440133e-16
