axis,option,is_baseline,n_days,index_last,index_ret_pct,excess_pp,delta_index,delta_excess_pp,no_effect_in_pilot
fx,SAME_DAY,True,59,1271.1384357033883,27.113843570338837,-14.664659108293844,0.0,0.0,True
fx,PREV_DAY,False,59,1281.027751175861,28.10277511758612,-14.428121806284167,9.889315472472845,0.23653730200967615,False
fx,BASE_DATE_FIXED,False,59,1265.73926902372,26.57392690237199,-14.793798918128441,-5.399166679668269,-0.12913980983459794,False
days,COMMON_OPEN_ONLY,True,59,1271.1384357033883,27.113843570338837,-14.664659108293844,0.0,0.0,True
days,UNION_CARRY,False,64,1271.1384357033883,27.113843570338837,-14.664659108293844,0.0,0.0,True
link,SEGMENT_RELINK,True,59,1271.1384357033883,27.113843570338837,-14.664659108293844,0.0,0.0,True
link,DIVISOR_ADJUST,False,59,1271.1384357033894,27.113843570338947,-14.664659108293732,1.1368683772161603e-12,1.1191048088221578e-13,True
ca,NONE,True,59,1271.1384357033883,27.113843570338837,-14.664659108293844,0.0,0.0,True
ca,SPLIT_5_ON_LISTING,False,59,1337.749126999218,33.77491269992181,-8.003589978710867,66.61069129582984,6.661069129582977,False
ca,SPLIT_5_ON_EFFECTIVE,False,59,1337.749126999218,33.77491269992181,-8.003589978710867,66.61069129582984,6.661069129582977,False
ca,SPLIT_333_ON_LISTING,False,59,1309.9946722926225,30.999467229262258,-10.779035449370422,38.856236589234186,3.8856236589234214,False
bmfx,CONVERT,True,59,1271.1384357033883,27.113843570338837,-14.664659108293844,0.0,0.0,True
bmfx,LEVEL_ONLY,False,59,1271.1384357033883,27.113843570338837,-14.253882250161599,0.0,0.4107768581322446,False
