"security_id","company_name","column_name","is_candidate_column","nonblank_count","blank_count","unique_value_count","sample_values"
"010120","LS일렉트릭","report_type_kr","True","22","0","3","사업보고서 | 분기보고서 | 반기보고서"
"010120","LS일렉트릭","filing_date","False","22","0","22","2021-03-19 | 2021-05-17 | 2021-08-17 | 2021-11-15 | 2022-03-18 | 2022-05-16 | 2022-08-16 | 2022-11-14 | 2023-03-20 | 2023-05-15"
"010120","LS일렉트릭","fiscal_period_inferred","False","22","0","22","FY2020 (연간, 2020.01-2020.12) | FY2021 1분기 (2021.01-2021.03) | FY2021 반기 (2021.01-2021.06) | FY2021 3분기 (2021.07-2021.09) | FY2021 (연간, 2021.01-2021.12) | FY2022 1분기 (2022.01-2022.03) | FY2022 반기 (2022.01-2022.06) | FY2022 3분기 (2022.07-2022.09) | FY2022 (연간, 2022.01-2022.12) | FY2023 1분기 (2023.01-2023.03)"
"010120","LS일렉트릭","is_revision","False","22","0","2","False | True"
"010120","LS일렉트릭","pdf_file_name","False","22","0","22","[엘에스일렉트릭]사업보고서(2021.03.19).pdf | [엘에스일렉트릭]분기보고서(2021.05.17).pdf | [엘에스일렉트릭]반기보고서(2021.08.17).pdf | [엘에스일렉트릭]분기보고서(2021.11.15).pdf | [엘에스일렉트릭]사업보고서(2022.03.18).pdf | [엘에스일렉트릭]분기보고서(2022.05.16).pdf | [엘에스일렉트릭]반기보고서(2022.08.16).pdf | [엘에스일렉트릭]분기보고서(2022.11.14).pdf | [엘에스일렉트릭]사업보고서(2023.03.20).pdf | [엘에스일렉트릭]분기보고서(2023.05.15).pdf"
"010120","LS일렉트릭","pdf_sha256","False","22","0","22","9da52dd1d76419c529e596f09a188360fd6d2e98aba182767d0f1240f91407b2 | 57f59c3386baef57efe246c48604bbf6663d825b51a99e03c7658483a31d22a3 | 390d7a5c9f10b40d6cc9f59b9b62e3e71594f6a0936c56684d9011e0fe3da9db | 6a00dba92e710fc9658acb0eace3f0737a7286f0f2ddaba2a1c9167266113248 | 276824e84a143e915ad9b00927c425c5a30313624b44d7e43a2cb0919625ece9 | 76067ad5983249c509114bd8391a786abfe550365198a7d8d1174371a486cdc1 | 524a7a027aae6e79a7948f66faca7e8ee0e90d909b4124bade2eb312697eba72 | 18481746c7b3149cd9c9b2a8506676d7dcaa775eab264f61b512f9b5fccdd7eb | 14e8fe49d9a28a4fda28637bc2aefeab5f0bfd7607a3a835ecc7d30a059fc0b2 | e67e4cb3310cccf517edc463831c7024bf7a8c677bf0705a0389dc1be038a5a5"
"010120","LS일렉트릭","xbrl_zip_file_name","False","22","0","22","[엘에스일렉트릭]사업보고서_IFRS(원문XBRL)(2021.03.19).zip | [엘에스일렉트릭]분기보고서_IFRS(원문XBRL)(2021.05.17).zip | [엘에스일렉트릭]반기보고서_IFRS(원문XBRL)(2021.08.17).zip | [엘에스일렉트릭]분기보고서_IFRS(원문XBRL)(2021.11.15).zip | [엘에스일렉트릭]사업보고서_IFRS(원문XBRL)(2022.03.18).zip | [엘에스일렉트릭]분기보고서_IFRS(원문XBRL)(2022.05.16).zip | [엘에스일렉트릭]반기보고서_IFRS(원문XBRL)(2022.08.16).zip | [엘에스일렉트릭]분기보고서_IFRS(원문XBRL)(2022.11.14).zip | [엘에스일렉트릭]사업보고서_IFRS(원문XBRL)(2023.03.20).zip | [엘에스일렉트릭]분기보고서_IFRS(원문XBRL)(2023.05.15).zip"
"010120","LS일렉트릭","xbrl_zip_sha256","False","22","0","22","7202fb233483a07a108709630d1796c55d6ddcd6ba97ce008be30d64af68fec0 | bc5f0dd2fb2264ae5f86410b7810081a9bcafccf32f3186e10b109df00902561 | d13d7468a559594fada6f76f8688d01772bffb19317ff7a48dc56ea405b04558 | 064a60c6b216c0296b2b6144152442d3cac9f8e783a4e3199fd9c40a11377098 | d4afb0a52b0ee54a1bf37344515aa5f5720ce37d7b2936bb2203833a21c56492 | ef009edf18f91fcde6d90293b6f514877b14afe85b1154f544d04972e7f5c74c | ec0802ed4274c765b370b7c569bd1ded2e8a201744c0f73f4a3d74f0c6505584 | 2ffcf40ddf912de39877b4b7744be22ce27fc46cc0b0600a3165effd8ebb2deb | 5e757900b8066f3bb94761337d2379d524a9404df0e43879323c4769f09affca | da4f5e2eb0ad01fcbae7fb1a59fabaa5456fa567e6eb185b879a6b5937f39972"
"010120","LS일렉트릭","pair_status","True","22","0","1","PAIRED"
"012450","한화에어로스페이스","report_type","True","19","0","3","반기보고서 | 분기보고서 | 사업보고서"
