"security_id","company_name","row_number","candidate_fields","all_fields"
"010120","LS일렉트릭","1","report_type_kr=사업보고서 || pair_status=PAIRED","report_type_kr=사업보고서 || filing_date=2021-03-19 || fiscal_period_inferred=FY2020 (연간, 2020.01-2020.12) || is_revision=False || pdf_file_name=[엘에스일렉트릭]사업보고서(2021.03.19).pdf || pdf_sha256=9da52dd1d76419c529e596f09a188360fd6d2e98aba182767d0f1240f91407b2 || xbrl_zip_file_name=[엘에스일렉트릭]사업보고서_IFRS(원문XBRL)(2021.03.19).zip || xbrl_zip_sha256=7202fb233483a07a108709630d1796c55d6ddcd6ba97ce008be30d64af68fec0 || pair_status=PAIRED"
"010120","LS일렉트릭","2","report_type_kr=분기보고서 || pair_status=PAIRED","report_type_kr=분기보고서 || filing_date=2021-05-17 || fiscal_period_inferred=FY2021 1분기 (2021.01-2021.03) || is_revision=False || pdf_file_name=[엘에스일렉트릭]분기보고서(2021.05.17).pdf || pdf_sha256=57f59c3386baef57efe246c48604bbf6663d825b51a99e03c7658483a31d22a3 || xbrl_zip_file_name=[엘에스일렉트릭]분기보고서_IFRS(원문XBRL)(2021.05.17).zip || xbrl_zip_sha256=bc5f0dd2fb2264ae5f86410b7810081a9bcafccf32f3186e10b109df00902561 || pair_status=PAIRED"
"010120","LS일렉트릭","3","report_type_kr=반기보고서 || pair_status=PAIRED","report_type_kr=반기보고서 || filing_date=2021-08-17 || fiscal_period_inferred=FY2021 반기 (2021.01-2021.06) || is_revision=False || pdf_file_name=[엘에스일렉트릭]반기보고서(2021.08.17).pdf || pdf_sha256=390d7a5c9f10b40d6cc9f59b9b62e3e71594f6a0936c56684d9011e0fe3da9db || xbrl_zip_file_name=[엘에스일렉트릭]반기보고서_IFRS(원문XBRL)(2021.08.17).zip || xbrl_zip_sha256=d13d7468a559594fada6f76f8688d01772bffb19317ff7a48dc56ea405b04558 || pair_status=PAIRED"
"010120","LS일렉트릭","4","report_type_kr=분기보고서 || pair_status=PAIRED","report_type_kr=분기보고서 || filing_date=2021-11-15 || fiscal_period_inferred=FY2021 3분기 (2021.07-2021.09) || is_revision=False || pdf_file_name=[엘에스일렉트릭]분기보고서(2021.11.15).pdf || pdf_sha256=6a00dba92e710fc9658acb0eace3f0737a7286f0f2ddaba2a1c9167266113248 || xbrl_zip_file_name=[엘에스일렉트릭]분기보고서_IFRS(원문XBRL)(2021.11.15).zip || xbrl_zip_sha256=064a60c6b216c0296b2b6144152442d3cac9f8e783a4e3199fd9c40a11377098 || pair_status=PAIRED"
"010120","LS일렉트릭","5","report_type_kr=사업보고서 || pair_status=PAIRED","report_type_kr=사업보고서 || filing_date=2022-03-18 || fiscal_period_inferred=FY2021 (연간, 2021.01-2021.12) || is_revision=False || pdf_file_name=[엘에스일렉트릭]사업보고서(2022.03.18).pdf || pdf_sha256=276824e84a143e915ad9b00927c425c5a30313624b44d7e43a2cb0919625ece9 || xbrl_zip_file_name=[엘에스일렉트릭]사업보고서_IFRS(원문XBRL)(2022.03.18).zip || xbrl_zip_sha256=d4afb0a52b0ee54a1bf37344515aa5f5720ce37d7b2936bb2203833a21c56492 || pair_status=PAIRED"
"010120","LS일렉트릭","6","report_type_kr=분기보고서 || pair_status=PAIRED","report_type_kr=분기보고서 || filing_date=2022-05-16 || fiscal_period_inferred=FY2022 1분기 (2022.01-2022.03) || is_revision=False || pdf_file_name=[엘에스일렉트릭]분기보고서(2022.05.16).pdf || pdf_sha256=76067ad5983249c509114bd8391a786abfe550365198a7d8d1174371a486cdc1 || xbrl_zip_file_name=[엘에스일렉트릭]분기보고서_IFRS(원문XBRL)(2022.05.16).zip || xbrl_zip_sha256=ef009edf18f91fcde6d90293b6f514877b14afe85b1154f544d04972e7f5c74c || pair_status=PAIRED"
"010120","LS일렉트릭","7","report_type_kr=반기보고서 || pair_status=PAIRED","report_type_kr=반기보고서 || filing_date=2022-08-16 || fiscal_period_inferred=FY2022 반기 (2022.01-2022.06) || is_revision=False || pdf_file_name=[엘에스일렉트릭]반기보고서(2022.08.16).pdf || pdf_sha256=524a7a027aae6e79a7948f66faca7e8ee0e90d909b4124bade2eb312697eba72 || xbrl_zip_file_name=[엘에스일렉트릭]반기보고서_IFRS(원문XBRL)(2022.08.16).zip || xbrl_zip_sha256=ec0802ed4274c765b370b7c569bd1ded2e8a201744c0f73f4a3d74f0c6505584 || pair_status=PAIRED"
"010120","LS일렉트릭","8","report_type_kr=분기보고서 || pair_status=PAIRED","report_type_kr=분기보고서 || filing_date=2022-11-14 || fiscal_period_inferred=FY2022 3분기 (2022.07-2022.09) || is_revision=False || pdf_file_name=[엘에스일렉트릭]분기보고서(2022.11.14).pdf || pdf_sha256=18481746c7b3149cd9c9b2a8506676d7dcaa775eab264f61b512f9b5fccdd7eb || xbrl_zip_file_name=[엘에스일렉트릭]분기보고서_IFRS(원문XBRL)(2022.11.14).zip || xbrl_zip_sha256=2ffcf40ddf912de39877b4b7744be22ce27fc46cc0b0600a3165effd8ebb2deb || pair_status=PAIRED"
"010120","LS일렉트릭","9","report_type_kr=사업보고서 || pair_status=PAIRED","report_type_kr=사업보고서 || filing_date=2023-03-20 || fiscal_period_inferred=FY2022 (연간, 2022.01-2022.12) || is_revision=False || pdf_file_name=[엘에스일렉트릭]사업보고서(2023.03.20).pdf || pdf_sha256=14e8fe49d9a28a4fda28637bc2aefeab5f0bfd7607a3a835ecc7d30a059fc0b2 || xbrl_zip_file_name=[엘에스일렉트릭]사업보고서_IFRS(원문XBRL)(2023.03.20).zip || xbrl_zip_sha256=5e757900b8066f3bb94761337d2379d524a9404df0e43879323c4769f09affca || pair_status=PAIRED"
"010120","LS일렉트릭","10","report_type_kr=분기보고서 || pair_status=PAIRED","report_type_kr=분기보고서 || filing_date=2023-05-15 || fiscal_period_inferred=FY2023 1분기 (2023.01-2023.03) || is_revision=False || pdf_file_name=[엘에스일렉트릭]분기보고서(2023.05.15).pdf || pdf_sha256=e67e4cb3310cccf517edc463831c7024bf7a8c677bf0705a0389dc1be038a5a5 || xbrl_zip_file_name=[엘에스일렉트릭]분기보고서_IFRS(원문XBRL)(2023.05.15).zip || xbrl_zip_sha256=da4f5e2eb0ad01fcbae7fb1a59fabaa5456fa567e6eb185b879a6b5937f39972 || pair_status=PAIRED"
