"검사ID","검사대상","통과","관측값","비고"
"필수파일","00_공통기준\README_열람순서.md","True","973","존재"
"필수파일","00_공통기준\KR9_정기보고서_3방향_1차완결_마감체크리스트_v1.0.xlsx","True","100633","존재"
"필수파일","00_공통기준\MASTER_회사별상태표.csv","True","801","존재"
"필수파일","00_공통기준\MASTER_근거증거원장.csv","True","15104","존재"
"필수파일","00_공통기준\MASTER_승인경계표.csv","True","480","존재"
"필수파일","00_공통기준\부록_정규화·조립·검증·봉인의_의미.md","True","11318","존재"
"필수파일","01_김민호_독립QA\QA_착수안내.md","True","564","존재"
"필수파일","02_권보성_엔진인계\ENGINE_인계안내.md","True","463","존재"
"필수파일","03_추주원_선정방법론\METHOD_인계안내.md","True","571","존재"
"필수파일","99_외부원자료보관안내\원자료는_Git과_인계ZIP에_포함하지_않음.md","True","517","존재"
"빈파일","패키지 전체","True","0","0이어야 함"
"원자료혼입","PDF·XLS·원자료 ZIP","True","0","중앙 체크리스트 XLSX는 허용"
