run_ts,mapped_at,security_id,project_company_name,corp_code,corp_code_fill_status,corp_code_reference_status,primary_theme_reference,local_container_redacted,zip_entry,source_file_name,file_ext,material_type,detected_report_type,detected_period_explicit,detected_rcept_dt,file_correction_hint,dart_report_nm,dart_report_period,actual_report_type,rcept_dt,rcept_no,source_url,official_dart_url,rcept_no_presence_status,handoff_status,verification_basis,local_path_use,not_performed_note,correction_flag,candidate_rcept_no_count,candidate_rcept_nos,match_status,review_status,memo
20260726_233026,2026-07-26 23:30:26,012450,한화에어로스페이스,00126566,FILLED_BY_KR9_SECURITY_ID_MAPPING,VERIFIED_WITH_DART_CORP_CODE_REFERENCE,Space/Defense,[LOCAL_PATH_REMOVED_USE_RCEPT_NO_AND_ZIP_ENTRY],raw_files/dart_pdf/[한화에어로스페이스][정정]반기보고서(2021.08.17).pdf,[한화에어로스페이스][정정]반기보고서(2021.08.17).pdf,.pdf,DART_PDF,반기보고서,,20210817,CORRECTION_HINT,[기재정정]반기보고서 (2021.06),2021.06,반기보고서,20210817,20210817000886,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210817000886,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210817000886,HAS_RCEPT_NO,READY_OFFICIAL_DART_URL,rcept_no_and_official_dart_url,REFERENCE_ONLY_NOT_VERIFICATION_BASIS,theme_revenue/backlog/role_grade/evidence_grade/gate_status/final_inclusion NOT_PERFORMED,기재정정,1,20210817000886,STRONG_MATCH_SID_TYPE_RCEPTDT,PASS,단일 후보 매칭
20260726_233026,2026-07-26 23:30:26,012450,한화에어로스페이스,00126566,FILLED_BY_KR9_SECURITY_ID_MAPPING,VERIFIED_WITH_DART_CORP_CODE_REFERENCE,Space/Defense,[LOCAL_PATH_REMOVED_USE_RCEPT_NO_AND_ZIP_ENTRY],raw_files/dart_pdf/[한화에어로스페이스][정정]사업보고서(2022.08.12).pdf,[한화에어로스페이스][정정]사업보고서(2022.08.12).pdf,.pdf,DART_PDF,사업보고서,,20220812,CORRECTION_HINT,[기재정정]사업보고서 (2021.12),2021.12,사업보고서,20220812,20220812000030,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220812000030,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220812000030,HAS_RCEPT_NO,READY_OFFICIAL_DART_URL,rcept_no_and_official_dart_url,REFERENCE_ONLY_NOT_VERIFICATION_BASIS,theme_revenue/backlog/role_grade/evidence_grade/gate_status/final_inclusion NOT_PERFORMED,기재정정,1,20220812000030,STRONG_MATCH_SID_TYPE_RCEPTDT,PASS,단일 후보 매칭
20260726_233026,2026-07-26 23:30:26,012450,한화에어로스페이스,00126566,FILLED_BY_KR9_SECURITY_ID_MAPPING,VERIFIED_WITH_DART_CORP_CODE_REFERENCE,Space/Defense,[LOCAL_PATH_REMOVED_USE_RCEPT_NO_AND_ZIP_ENTRY],raw_files/dart_pdf/[한화에어로스페이스][정정]사업보고서(2023.03.21).pdf,[한화에어로스페이스][정정]사업보고서(2023.03.21).pdf,.pdf,DART_PDF,사업보고서,,20230321,CORRECTION_HINT,[기재정정]사업보고서 (2022.12),2022.12,사업보고서,20230321,20230321001337,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230321001337,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230321001337,HAS_RCEPT_NO,READY_OFFICIAL_DART_URL,rcept_no_and_official_dart_url,REFERENCE_ONLY_NOT_VERIFICATION_BASIS,theme_revenue/backlog/role_grade/evidence_grade/gate_status/final_inclusion NOT_PERFORMED,기재정정,1,20230321001337,STRONG_MATCH_SID_TYPE_RCEPTDT,PASS,단일 후보 매칭
20260726_233026,2026-07-26 23:30:26,012450,한화에어로스페이스,00126566,FILLED_BY_KR9_SECURITY_ID_MAPPING,VERIFIED_WITH_DART_CORP_CODE_REFERENCE,Space/Defense,[LOCAL_PATH_REMOVED_USE_RCEPT_NO_AND_ZIP_ENTRY],raw_files/dart_pdf/[한화에어로스페이스][정정]사업보고서(2024.03.29).pdf,[한화에어로스페이스][정정]사업보고서(2024.03.29).pdf,.pdf,DART_PDF,사업보고서,,20240329,CORRECTION_HINT,[기재정정]사업보고서 (2023.12),2023.12,사업보고서,20240329,20240329000902,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240329000902,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240329000902,HAS_RCEPT_NO,READY_OFFICIAL_DART_URL,rcept_no_and_official_dart_url,REFERENCE_ONLY_NOT_VERIFICATION_BASIS,theme_revenue/backlog/role_grade/evidence_grade/gate_status/final_inclusion NOT_PERFORMED,기재정정,1,20240329000902,STRONG_MATCH_SID_TYPE_RCEPTDT,PASS,단일 후보 매칭
20260726_233026,2026-07-26 23:30:26,012450,한화에어로스페이스,00126566,FILLED_BY_KR9_SECURITY_ID_MAPPING,VERIFIED_WITH_DART_CORP_CODE_REFERENCE,Space/Defense,[LOCAL_PATH_REMOVED_USE_RCEPT_NO_AND_ZIP_ENTRY],raw_files/dart_pdf/[한화에어로스페이스]반기보고서(2022.08.12).pdf,[한화에어로스페이스]반기보고서(2022.08.12).pdf,.pdf,DART_PDF,반기보고서,,20220812,ORIGINAL_HINT,반기보고서 (2022.06),2022.06,반기보고서,20220812,20220812001201,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220812001201,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220812001201,HAS_RCEPT_NO,READY_OFFICIAL_DART_URL,rcept_no_and_official_dart_url,REFERENCE_ONLY_NOT_VERIFICATION_BASIS,theme_revenue/backlog/role_grade/evidence_grade/gate_status/final_inclusion NOT_PERFORMED,ORIGINAL_OR_UNMARKED,1,20220812001201,STRONG_MATCH_SID_TYPE_RCEPTDT,PASS,단일 후보 매칭
20260726_233026,2026-07-26 23:30:26,012450,한화에어로스페이스,00126566,FILLED_BY_KR9_SECURITY_ID_MAPPING,VERIFIED_WITH_DART_CORP_CODE_REFERENCE,Space/Defense,[LOCAL_PATH_REMOVED_USE_RCEPT_NO_AND_ZIP_ENTRY],raw_files/dart_pdf/[한화에어로스페이스]반기보고서(2023.08.11).pdf,[한화에어로스페이스]반기보고서(2023.08.11).pdf,.pdf,DART_PDF,반기보고서,,20230811,ORIGINAL_HINT,반기보고서 (2023.06),2023.06,반기보고서,20230811,20230811001751,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230811001751,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230811001751,HAS_RCEPT_NO,READY_OFFICIAL_DART_URL,rcept_no_and_official_dart_url,REFERENCE_ONLY_NOT_VERIFICATION_BASIS,theme_revenue/backlog/role_grade/evidence_grade/gate_status/final_inclusion NOT_PERFORMED,ORIGINAL_OR_UNMARKED,1,20230811001751,STRONG_MATCH_SID_TYPE_RCEPTDT,PASS,단일 후보 매칭
20260726_233026,2026-07-26 23:30:26,012450,한화에어로스페이스,00126566,FILLED_BY_KR9_SECURITY_ID_MAPPING,VERIFIED_WITH_DART_CORP_CODE_REFERENCE,Space/Defense,[LOCAL_PATH_REMOVED_USE_RCEPT_NO_AND_ZIP_ENTRY],raw_files/dart_pdf/[한화에어로스페이스]반기보고서(2024.08.14).pdf,[한화에어로스페이스]반기보고서(2024.08.14).pdf,.pdf,DART_PDF,반기보고서,,20240814,ORIGINAL_HINT,반기보고서 (2024.06),2024.06,반기보고서,20240814,20240814002253,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240814002253,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240814002253,HAS_RCEPT_NO,READY_OFFICIAL_DART_URL,rcept_no_and_official_dart_url,REFERENCE_ONLY_NOT_VERIFICATION_BASIS,theme_revenue/backlog/role_grade/evidence_grade/gate_status/final_inclusion NOT_PERFORMED,ORIGINAL_OR_UNMARKED,1,20240814002253,STRONG_MATCH_SID_TYPE_RCEPTDT,PASS,단일 후보 매칭
20260726_233026,2026-07-26 23:30:26,012450,한화에어로스페이스,00126566,FILLED_BY_KR9_SECURITY_ID_MAPPING,VERIFIED_WITH_DART_CORP_CODE_REFERENCE,Space/Defense,[LOCAL_PATH_REMOVED_USE_RCEPT_NO_AND_ZIP_ENTRY],raw_files/dart_pdf/[한화에어로스페이스]반기보고서(2025.08.14).pdf,[한화에어로스페이스]반기보고서(2025.08.14).pdf,.pdf,DART_PDF,반기보고서,,20250814,ORIGINAL_HINT,반기보고서 (2025.06),2025.06,반기보고서,20250814,20250814002734,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250814002734,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250814002734,HAS_RCEPT_NO,READY_OFFICIAL_DART_URL,rcept_no_and_official_dart_url,REFERENCE_ONLY_NOT_VERIFICATION_BASIS,theme_revenue/backlog/role_grade/evidence_grade/gate_status/final_inclusion NOT_PERFORMED,ORIGINAL_OR_UNMARKED,1,20250814002734,STRONG_MATCH_SID_TYPE_RCEPTDT,PASS,단일 후보 매칭
20260726_233026,2026-07-26 23:30:26,012450,한화에어로스페이스,00126566,FILLED_BY_KR9_SECURITY_ID_MAPPING,VERIFIED_WITH_DART_CORP_CODE_REFERENCE,Space/Defense,[LOCAL_PATH_REMOVED_USE_RCEPT_NO_AND_ZIP_ENTRY],raw_files/dart_pdf/[한화에어로스페이스]분기보고서(2021.11.12).pdf,[한화에어로스페이스]분기보고서(2021.11.12).pdf,.pdf,DART_PDF,분기보고서,,20211112,ORIGINAL_HINT,분기보고서 (2021.09),2021.09,분기보고서,20211112,20211112000560,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20211112000560,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20211112000560,HAS_RCEPT_NO,READY_OFFICIAL_DART_URL,rcept_no_and_official_dart_url,REFERENCE_ONLY_NOT_VERIFICATION_BASIS,theme_revenue/backlog/role_grade/evidence_grade/gate_status/final_inclusion NOT_PERFORMED,ORIGINAL_OR_UNMARKED,1,20211112000560,STRONG_MATCH_SID_TYPE_RCEPTDT,PASS,단일 후보 매칭
20260726_233026,2026-07-26 23:30:26,012450,한화에어로스페이스,00126566,FILLED_BY_KR9_SECURITY_ID_MAPPING,VERIFIED_WITH_DART_CORP_CODE_REFERENCE,Space/Defense,[LOCAL_PATH_REMOVED_USE_RCEPT_NO_AND_ZIP_ENTRY],raw_files/dart_pdf/[한화에어로스페이스]분기보고서(2022.05.16).pdf,[한화에어로스페이스]분기보고서(2022.05.16).pdf,.pdf,DART_PDF,분기보고서,,20220516,ORIGINAL_HINT,분기보고서 (2022.03),2022.03,분기보고서,20220516,20220516000359,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220516000359,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220516000359,HAS_RCEPT_NO,READY_OFFICIAL_DART_URL,rcept_no_and_official_dart_url,REFERENCE_ONLY_NOT_VERIFICATION_BASIS,theme_revenue/backlog/role_grade/evidence_grade/gate_status/final_inclusion NOT_PERFORMED,ORIGINAL_OR_UNMARKED,1,20220516000359,STRONG_MATCH_SID_TYPE_RCEPTDT,PASS,단일 후보 매칭
20260726_233026,2026-07-26 23:30:26,012450,한화에어로스페이스,00126566,FILLED_BY_KR9_SECURITY_ID_MAPPING,VERIFIED_WITH_DART_CORP_CODE_REFERENCE,Space/Defense,[LOCAL_PATH_REMOVED_USE_RCEPT_NO_AND_ZIP_ENTRY],raw_files/dart_pdf/[한화에어로스페이스]분기보고서(2022.11.11).pdf,[한화에어로스페이스]분기보고서(2022.11.11).pdf,.pdf,DART_PDF,분기보고서,,20221111,ORIGINAL_HINT,분기보고서 (2022.09),2022.09,분기보고서,20221111,20221111000788,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20221111000788,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20221111000788,HAS_RCEPT_NO,READY_OFFICIAL_DART_URL,rcept_no_and_official_dart_url,REFERENCE_ONLY_NOT_VERIFICATION_BASIS,theme_revenue/backlog/role_grade/evidence_grade/gate_status/final_inclusion NOT_PERFORMED,ORIGINAL_OR_UNMARKED,1,20221111000788,STRONG_MATCH_SID_TYPE_RCEPTDT,PASS,단일 후보 매칭
