run_ts,mapped_at,security_id,project_company_name,local_container_redacted,zip_entry,source_file_name,file_ext,material_type,detected_report_type,detected_period_explicit,detected_rcept_dt,file_correction_hint,dart_report_nm,dart_report_period,actual_report_type,rcept_dt,rcept_no,source_url,correction_flag,candidate_rcept_no_count,candidate_rcept_nos,match_status,review_status,memo,corp_code,corp_code_fill_status,corp_code_reference_status,primary_theme_reference,official_dart_url,rcept_no_presence_status,handoff_status,verification_basis,local_path_use,not_performed_note
20260726_233026,2026-07-26 23:30:26,267260,HD현대일렉트릭,[LOCAL_PATH_REMOVED_USE_RCEPT_NO_AND_ZIP_ENTRY],raw_files/dart_pdf/[HD현대일렉트릭]반기보고서(2020.08.14).pdf,[HD현대일렉트릭]반기보고서(2020.08.14).pdf,.pdf,DART_PDF,반기보고서,,20200814,ORIGINAL_HINT,,,,,,,,0,,NO_RCPNO_MATCH,REVIEW_NO_MATCH,SID_TYPE_RCEPTDT 후보 없음,01205851,FILLED_BY_KR9_SECURITY_ID_MAPPING,VERIFIED_WITH_ENGLISHDART_COMPANY_POPUP,Energy/Power Infrastructure,,REVIEW_NO_RCEPT_NO,REVIEW_NO_RCEPT_NO,rcept_no_and_official_dart_url,REFERENCE_ONLY_NOT_VERIFICATION_BASIS,theme_revenue/backlog/role_grade/evidence_grade/gate_status/final_inclusion NOT_PERFORMED
20260726_233026,2026-07-26 23:30:26,267260,HD현대일렉트릭,[LOCAL_PATH_REMOVED_USE_RCEPT_NO_AND_ZIP_ENTRY],raw_files/dart_pdf/[HD현대일렉트릭]분기보고서(2020.11.16).pdf,[HD현대일렉트릭]분기보고서(2020.11.16).pdf,.pdf,DART_PDF,분기보고서,,20201116,ORIGINAL_HINT,,,,,,,,0,,NO_RCPNO_MATCH,REVIEW_NO_MATCH,SID_TYPE_RCEPTDT 후보 없음,01205851,FILLED_BY_KR9_SECURITY_ID_MAPPING,VERIFIED_WITH_ENGLISHDART_COMPANY_POPUP,Energy/Power Infrastructure,,REVIEW_NO_RCEPT_NO,REVIEW_NO_RCEPT_NO,rcept_no_and_official_dart_url,REFERENCE_ONLY_NOT_VERIFICATION_BASIS,theme_revenue/backlog/role_grade/evidence_grade/gate_status/final_inclusion NOT_PERFORMED
20260726_233026,2026-07-26 23:30:26,267260,HD현대일렉트릭,[LOCAL_PATH_REMOVED_USE_RCEPT_NO_AND_ZIP_ENTRY],raw_files/dart_xbrl_zip/[HD현대일렉트릭]반기보고서_IFRS(원문XBRL)(2020.08.14).zip,[HD현대일렉트릭]반기보고서_IFRS(원문XBRL)(2020.08.14).zip,.zip,XBRL_ZIP,반기보고서,,20200814,ORIGINAL_HINT,,,,,,,,0,,NO_RCPNO_MATCH,REVIEW_NO_MATCH,SID_TYPE_RCEPTDT 후보 없음,01205851,FILLED_BY_KR9_SECURITY_ID_MAPPING,VERIFIED_WITH_ENGLISHDART_COMPANY_POPUP,Energy/Power Infrastructure,,REVIEW_NO_RCEPT_NO,REVIEW_NO_RCEPT_NO,rcept_no_and_official_dart_url,REFERENCE_ONLY_NOT_VERIFICATION_BASIS,theme_revenue/backlog/role_grade/evidence_grade/gate_status/final_inclusion NOT_PERFORMED
20260726_233026,2026-07-26 23:30:26,267260,HD현대일렉트릭,[LOCAL_PATH_REMOVED_USE_RCEPT_NO_AND_ZIP_ENTRY],raw_files/dart_xbrl_zip/[HD현대일렉트릭]분기보고서_IFRS(원문XBRL)(2020.11.16).zip,[HD현대일렉트릭]분기보고서_IFRS(원문XBRL)(2020.11.16).zip,.zip,XBRL_ZIP,분기보고서,,20201116,ORIGINAL_HINT,,,,,,,,0,,NO_RCPNO_MATCH,REVIEW_NO_MATCH,SID_TYPE_RCEPTDT 후보 없음,01205851,FILLED_BY_KR9_SECURITY_ID_MAPPING,VERIFIED_WITH_ENGLISHDART_COMPANY_POPUP,Energy/Power Infrastructure,,REVIEW_NO_RCEPT_NO,REVIEW_NO_RCEPT_NO,rcept_no_and_official_dart_url,REFERENCE_ONLY_NOT_VERIFICATION_BASIS,theme_revenue/backlog/role_grade/evidence_grade/gate_status/final_inclusion NOT_PERFORMED
20260726_233026,2026-07-26 23:30:26,298040,효성중공업,[LOCAL_PATH_REMOVED_USE_RCEPT_NO_AND_ZIP_ENTRY],raw_files/dart_pdf/[효성중공업]반기보고서(2020.08.14).pdf,[효성중공업]반기보고서(2020.08.14).pdf,.pdf,DART_PDF,반기보고서,,20200814,ORIGINAL_HINT,,,,,,,,0,,NO_RCPNO_MATCH,REVIEW_NO_MATCH,SID_TYPE_RCEPTDT 후보 없음,01316245,FILLED_BY_KR9_SECURITY_ID_MAPPING,VERIFIED_WITH_ENGLISHDART_COMPANY_POPUP,Energy/Power Infrastructure,,REVIEW_NO_RCEPT_NO,REVIEW_NO_RCEPT_NO,rcept_no_and_official_dart_url,REFERENCE_ONLY_NOT_VERIFICATION_BASIS,theme_revenue/backlog/role_grade/evidence_grade/gate_status/final_inclusion NOT_PERFORMED
20260726_233026,2026-07-26 23:30:26,298040,효성중공업,[LOCAL_PATH_REMOVED_USE_RCEPT_NO_AND_ZIP_ENTRY],raw_files/dart_pdf/[효성중공업]분기보고서(2020.11.16).pdf,[효성중공업]분기보고서(2020.11.16).pdf,.pdf,DART_PDF,분기보고서,,20201116,ORIGINAL_HINT,,,,,,,,0,,NO_RCPNO_MATCH,REVIEW_NO_MATCH,SID_TYPE_RCEPTDT 후보 없음,01316245,FILLED_BY_KR9_SECURITY_ID_MAPPING,VERIFIED_WITH_ENGLISHDART_COMPANY_POPUP,Energy/Power Infrastructure,,REVIEW_NO_RCEPT_NO,REVIEW_NO_RCEPT_NO,rcept_no_and_official_dart_url,REFERENCE_ONLY_NOT_VERIFICATION_BASIS,theme_revenue/backlog/role_grade/evidence_grade/gate_status/final_inclusion NOT_PERFORMED
20260726_233026,2026-07-26 23:30:26,298040,효성중공업,[LOCAL_PATH_REMOVED_USE_RCEPT_NO_AND_ZIP_ENTRY],raw_files/dart_xls/[효성중공업]반기보고서_IFRS(원문XBRL)(2020.08.14).zip,[효성중공업]반기보고서_IFRS(원문XBRL)(2020.08.14).zip,.zip,XBRL_ZIP,반기보고서,,20200814,ORIGINAL_HINT,,,,,,,,0,,NO_RCPNO_MATCH,REVIEW_NO_MATCH,SID_TYPE_RCEPTDT 후보 없음,01316245,FILLED_BY_KR9_SECURITY_ID_MAPPING,VERIFIED_WITH_ENGLISHDART_COMPANY_POPUP,Energy/Power Infrastructure,,REVIEW_NO_RCEPT_NO,REVIEW_NO_RCEPT_NO,rcept_no_and_official_dart_url,REFERENCE_ONLY_NOT_VERIFICATION_BASIS,theme_revenue/backlog/role_grade/evidence_grade/gate_status/final_inclusion NOT_PERFORMED
20260726_233026,2026-07-26 23:30:26,298040,효성중공업,[LOCAL_PATH_REMOVED_USE_RCEPT_NO_AND_ZIP_ENTRY],raw_files/dart_xls/[효성중공업]분기보고서_IFRS(원문XBRL)(2020.11.16).zip,[효성중공업]분기보고서_IFRS(원문XBRL)(2020.11.16).zip,.zip,XBRL_ZIP,분기보고서,,20201116,ORIGINAL_HINT,,,,,,,,0,,NO_RCPNO_MATCH,REVIEW_NO_MATCH,SID_TYPE_RCEPTDT 후보 없음,01316245,FILLED_BY_KR9_SECURITY_ID_MAPPING,VERIFIED_WITH_ENGLISHDART_COMPANY_POPUP,Energy/Power Infrastructure,,REVIEW_NO_RCEPT_NO,REVIEW_NO_RCEPT_NO,rcept_no_and_official_dart_url,REFERENCE_ONLY_NOT_VERIFICATION_BASIS,theme_revenue/backlog/role_grade/evidence_grade/gate_status/final_inclusion NOT_PERFORMED
20260726_233026,2026-07-26 23:30:26,307950,현대오토에버,[LOCAL_PATH_REMOVED_USE_RCEPT_NO_AND_ZIP_ENTRY],raw_files/dart_pdf/[현대오토에버]반기보고서(2020.08.14).pdf,[현대오토에버]반기보고서(2020.08.14).pdf,.pdf,DART_PDF,반기보고서,,20200814,ORIGINAL_HINT,,,,,,,,0,,NO_RCPNO_MATCH,REVIEW_NO_MATCH,SID_TYPE_RCEPTDT 후보 없음,00362441,FILLED_BY_KR9_SECURITY_ID_MAPPING,VERIFIED_WITH_ENGLISHDART_COMPANY_POPUP,AI/Robotics,,REVIEW_NO_RCEPT_NO,REVIEW_NO_RCEPT_NO,rcept_no_and_official_dart_url,REFERENCE_ONLY_NOT_VERIFICATION_BASIS,theme_revenue/backlog/role_grade/evidence_grade/gate_status/final_inclusion NOT_PERFORMED
20260726_233026,2026-07-26 23:30:26,307950,현대오토에버,[LOCAL_PATH_REMOVED_USE_RCEPT_NO_AND_ZIP_ENTRY],raw_files/dart_pdf/[현대오토에버]분기보고서(2020.11.16).pdf,[현대오토에버]분기보고서(2020.11.16).pdf,.pdf,DART_PDF,분기보고서,,20201116,ORIGINAL_HINT,,,,,,,,0,,NO_RCPNO_MATCH,REVIEW_NO_MATCH,SID_TYPE_RCEPTDT 후보 없음,00362441,FILLED_BY_KR9_SECURITY_ID_MAPPING,VERIFIED_WITH_ENGLISHDART_COMPANY_POPUP,AI/Robotics,,REVIEW_NO_RCEPT_NO,REVIEW_NO_RCEPT_NO,rcept_no_and_official_dart_url,REFERENCE_ONLY_NOT_VERIFICATION_BASIS,theme_revenue/backlog/role_grade/evidence_grade/gate_status/final_inclusion NOT_PERFORMED
