"review_item_id","accession_norm","sec_form","sec_report_date","sec_acceptance_datetime_utc","sec_acceptance_datetime_et","acceptance_et_date","sec_filing_date","calendar_gap_days","weekend_observation","checked_value","date_semantics_status","data_available_date_status","pit_rule_status","reviewer","reviewed_at","approval_status","application_status","promotion_status"
"DATE_000010182923000009","000010182923000009","10-K","2022-12-31","2023-02-06T22:32:52.000Z","2023-02-06T17:32:52-05:00","2023-02-06","2023-02-07","1","NOT_APPLICABLE","acceptance_et_date=2023-02-06;filing_date=2023-02-07;gap_days=1","DATE_FIELD_SEMANTICS_CONFIRMED","NOT_DETERMINED","APPROVAL_PENDING","김근형","2026-07-29T18:12:48+09:00","PIT_RULE_APPROVAL_PENDING","NOT_APPLIED","NOT_PROMOTED"
"DATE_000093646823000099","000093646823000099","10-Q","2023-06-25","2023-07-18T22:43:40.000Z","2023-07-18T18:43:40-04:00","2023-07-18","2023-07-19","1","NOT_APPLICABLE","acceptance_et_date=2023-07-18;filing_date=2023-07-19;gap_days=1","DATE_FIELD_SEMANTICS_CONFIRMED","NOT_DETERMINED","APPROVAL_PENDING","김근형","2026-07-29T18:12:48+09:00","PIT_RULE_APPROVAL_PENDING","NOT_APPLIED","NOT_PROMOTED"
"DATE_000104581021000163","000104581021000163","10-Q","2021-10-31","2021-11-20T02:16:20.000Z","2021-11-19T21:16:20-05:00","2021-11-19","2021-11-22","3","FRIDAY_TO_MONDAY_CALENDAR_GAP_OBSERVED","acceptance_et_date=2021-11-19;filing_date=2021-11-22;gap_days=3","DATE_FIELD_SEMANTICS_CONFIRMED","NOT_DETERMINED","APPROVAL_PENDING","김근형","2026-07-29T18:12:48+09:00","PIT_RULE_APPROVAL_PENDING","NOT_APPLIED","NOT_PROMOTED"
"DATE_000104581023000175","000104581023000175","10-Q","2023-07-30","2023-08-25T23:36:34.000Z","2023-08-25T19:36:34-04:00","2023-08-25","2023-08-28","3","FRIDAY_TO_MONDAY_CALENDAR_GAP_OBSERVED","acceptance_et_date=2023-08-25;filing_date=2023-08-28;gap_days=3","DATE_FIELD_SEMANTICS_CONFIRMED","NOT_DETERMINED","APPROVAL_PENDING","김근형","2026-07-29T18:12:48+09:00","PIT_RULE_APPROVAL_PENDING","NOT_APPLIED","NOT_PROMOTED"
"DATE_000105091521000009","000105091521000009","10-K","2020-12-31","2021-02-26T23:54:46.000Z","2021-02-26T18:54:46-05:00","2021-02-26","2021-03-01","3","FRIDAY_TO_MONDAY_CALENDAR_GAP_OBSERVED","acceptance_et_date=2021-02-26;filing_date=2021-03-01;gap_days=3","DATE_FIELD_SEMANTICS_CONFIRMED","NOT_DETERMINED","APPROVAL_PENDING","김근형","2026-07-29T18:12:48+09:00","PIT_RULE_APPROVAL_PENDING","NOT_APPLIED","NOT_PROMOTED"
"DATE_000105091521000103","000105091521000103","10-Q","2021-06-30","2021-08-05T22:10:00.000Z","2021-08-05T18:10:00-04:00","2021-08-05","2021-08-06","1","NOT_APPLICABLE","acceptance_et_date=2021-08-05;filing_date=2021-08-06;gap_days=1","DATE_FIELD_SEMANTICS_CONFIRMED","NOT_DETERMINED","APPROVAL_PENDING","김근형","2026-07-29T18:12:48+09:00","PIT_RULE_APPROVAL_PENDING","NOT_APPLIED","NOT_PROMOTED"
"DATE_000105091522000122","000105091522000122","10-Q","2022-09-30","2022-11-03T22:25:41.000Z","2022-11-03T18:25:41-04:00","2022-11-03","2022-11-04","1","NOT_APPLICABLE","acceptance_et_date=2022-11-03;filing_date=2022-11-04;gap_days=1","DATE_FIELD_SEMANTICS_CONFIRMED","NOT_DETERMINED","APPROVAL_PENDING","김근형","2026-07-29T18:12:48+09:00","PIT_RULE_APPROVAL_PENDING","NOT_APPLIED","NOT_PROMOTED"
"DATE_000165204421000020","000165204421000020","10-Q","2021-03-31","2021-04-27T23:17:57.000Z","2021-04-27T19:17:57-04:00","2021-04-27","2021-04-28","1","NOT_APPLICABLE","acceptance_et_date=2021-04-27;filing_date=2021-04-28;gap_days=1","DATE_FIELD_SEMANTICS_CONFIRMED","NOT_DETERMINED","APPROVAL_PENDING","김근형","2026-07-29T18:12:48+09:00","PIT_RULE_APPROVAL_PENDING","NOT_APPLIED","NOT_PROMOTED"
"DATE_000165204421000057","000165204421000057","10-Q","2021-09-30","2021-10-26T23:47:06.000Z","2021-10-26T19:47:06-04:00","2021-10-26","2021-10-27","1","NOT_APPLICABLE","acceptance_et_date=2021-10-26;filing_date=2021-10-27;gap_days=1","DATE_FIELD_SEMANTICS_CONFIRMED","NOT_DETERMINED","APPROVAL_PENDING","김근형","2026-07-29T18:12:48+09:00","PIT_RULE_APPROVAL_PENDING","NOT_APPLIED","NOT_PROMOTED"
"DATE_000165204422000071","000165204422000071","10-Q","2022-06-30","2022-07-26T23:29:36.000Z","2022-07-26T19:29:36-04:00","2022-07-26","2022-07-27","1","NOT_APPLICABLE","acceptance_et_date=2022-07-26;filing_date=2022-07-27;gap_days=1","DATE_FIELD_SEMANTICS_CONFIRMED","NOT_DETERMINED","APPROVAL_PENDING","김근형","2026-07-29T18:12:48+09:00","PIT_RULE_APPROVAL_PENDING","NOT_APPLIED","NOT_PROMOTED"
