"review_item_id","accession_norm","review_group","review_dimension","system_observation_code","technical_classification","v0_3_value","sec_value","subject_company_cik","accession_submitter_cik","filing_header_subject_cik","archive_path_cik_candidate","sec_history_cik","sec_form","sec_report_date","sec_filing_date","sec_acceptance_datetime","source_comparison_status","source_cik_role_status","source_date_logic_status","review_scope","review_status","approval_status","application_status","promotion_status","baseline_sha256","reviewer_role","review_execution_status","checked_value","source_value_confirmation_status","role_interpretation_status","date_semantics_status","missing_cause_status","evidence_source","evidence_path_or_url","evidence_record_locator","reviewer_observation","reviewer_judgment","reviewer_review_status","reviewer_confirmed_scope","unresolved_issue","approval_recommendation","reviewer_note","reviewed_at","reviewer","result_lock_status"
"CIK_000095017023014423","000095017023014423","CIK_REVIEW","SUBJECT_CIK_MISSING_AND_ROLE_DIFFERENCE","V03_SUBJECT_CIK_MISSING_SEC_PRESENT_ARCHIVE_SEC_MATCH_SUBMITTER_DIFFERS","SUBJECT_COMPANY_CIK_MISSING_IN_V0_3_SEC_PRESENT|SUBJECT_COMPANY_CIK_MISSING_BUT_ARCHIVE_AND_SEC_HISTORY_MATCH|SUBMITTER_ROLE_DIFFERENCE_OBSERVED|REVIEW_REQUIRED_NOT_DATA_ERROR","","789019","","950170","","789019","789019","","","","","V03_MISSING_SEC_PRESENT","ROLE_DIFFERENCE_REVIEW_REQUIRED","","SOURCE_VALUE_AND_ROLE_ONLY","HUMAN_REVIEW_PENDING","AUTHORITATIVE_SOURCE_APPROVAL_PENDING","NOT_APPLIED","NOT_PROMOTED","F7FEE6527F051DE7FB9FB5015DE6E756AF1BD8FCE049B0241023FE7C3976914D","USER","REVIEW_EVIDENCE_CREATED","789019","SOURCE_VALUE_CONFIRMED","ROLE_DIFFERENCE_CONFIRMED_NOT_ERROR","NOT_APPLICABLE","SOURCE_PRESENT_PIPELINE_FIELD_NOT_POPULATED","SEC_COMPLETE_SUBMISSION_TEXT|SEC_FILING_HISTORY|SEC_ARCHIVE_PATH","[LOCAL_PATH_REMOVED_USE_ACCESSION_AND_LOCATOR]","SEC-HEADER > COMPANY DATA > COMPANY CONFORMED NAME / CENTRAL INDEX KEY","SEC header identifies MICROSOFT CORP with CENTRAL INDEX KEY 0000789019; normalized CIK 789019 matches SEC filing history and archive-path candidate. Submitter CIK 950170 is retained as a separate role.","Company CIK candidate confirmed within the stated source scope; the submitter-role difference is not a data error. No automatic application or promotion was performed.","CANDIDATE_VALUE_CONFIRMED_NOT_PROMOTED","SEC_COMPLETE_SUBMISSION_HEADER_AND_SEC_FILING_HISTORY_AND_ARCHIVE_PATH_ONLY","AUTHORITATIVE_SOURCE_PRIORITY_AND_PIPELINE_REMEDIATION_APPROVAL_PENDING","HANDOFF_TO_REVIEW_OWNER","Original SEC header CIK 0000789019 was normalized to 789019. Official source approval, application, and promotion remain pending.","2026-07-29T14:03:17+09:00","김근형","UNLOCKED_WORKING"
"CIK_000095017023035122","000095017023035122","CIK_REVIEW","SUBJECT_CIK_MISSING_AND_ROLE_DIFFERENCE","V03_SUBJECT_CIK_MISSING_SEC_PRESENT_ARCHIVE_SEC_MATCH_SUBMITTER_DIFFERS","SUBJECT_COMPANY_CIK_MISSING_IN_V0_3_SEC_PRESENT|SUBJECT_COMPANY_CIK_MISSING_BUT_ARCHIVE_AND_SEC_HISTORY_MATCH|SUBMITTER_ROLE_DIFFERENCE_OBSERVED|REVIEW_REQUIRED_NOT_DATA_ERROR","","789019","","950170","","789019","789019","","","","","V03_MISSING_SEC_PRESENT","ROLE_DIFFERENCE_REVIEW_REQUIRED","","SOURCE_VALUE_AND_ROLE_ONLY","HUMAN_REVIEW_PENDING","AUTHORITATIVE_SOURCE_APPROVAL_PENDING","NOT_APPLIED","NOT_PROMOTED","F7FEE6527F051DE7FB9FB5015DE6E756AF1BD8FCE049B0241023FE7C3976914D","USER","REVIEW_EVIDENCE_CREATED","789019","SOURCE_VALUE_CONFIRMED","ROLE_DIFFERENCE_CONFIRMED_NOT_ERROR","NOT_APPLICABLE","SOURCE_PRESENT_PIPELINE_FIELD_NOT_POPULATED","SEC_COMPLETE_SUBMISSION_TEXT|SEC_FILING_HISTORY|SEC_ARCHIVE_PATH","[LOCAL_PATH_REMOVED_USE_ACCESSION_AND_LOCATOR]","SEC-HEADER > COMPANY DATA > COMPANY CONFORMED NAME / CENTRAL INDEX KEY","SEC 10-K header identifies MICROSOFT CORP with CENTRAL INDEX KEY 0000789019; normalized CIK 789019 matches SEC filing history and archive-path candidate. Submitter CIK 950170 remains a separate submitter-role identifier.","Subject-company CIK candidate 789019 is confirmed within the reviewed source scope. The submitter-role difference is not a data error. The precise pipeline omission cause and authoritative-source priority remain pending.","CANDIDATE_VALUE_CONFIRMED_NOT_PROMOTED","SEC_COMPLETE_SUBMISSION_HEADER_AND_SEC_FILING_HISTORY_AND_ARCHIVE_PATH_ONLY","PRECISE_PIPELINE_OMISSION_CAUSE_AND_AUTHORITATIVE_SOURCE_PRIORITY_APPROVAL_PENDING","HANDOFF_TO_REVIEW_OWNER","Original SEC header CIK 0000789019 was normalized to 789019. Source presence is confirmed, but extraction-versus-mapping root cause was not determined in this review. No application or promotion was performed.","2026-07-29T14:23:15+09:00","김근형","UNLOCKED_WORKING"
"CIK_000095017023054855","000095017023054855","CIK_REVIEW","SUBJECT_CIK_MISSING_AND_ROLE_DIFFERENCE","V03_SUBJECT_CIK_MISSING_SEC_PRESENT_ARCHIVE_SEC_MATCH_SUBMITTER_DIFFERS","SUBJECT_COMPANY_CIK_MISSING_IN_V0_3_SEC_PRESENT|SUBJECT_COMPANY_CIK_MISSING_BUT_ARCHIVE_AND_SEC_HISTORY_MATCH|SUBMITTER_ROLE_DIFFERENCE_OBSERVED|REVIEW_REQUIRED_NOT_DATA_ERROR","","789019","","950170","","789019","789019","","","","","V03_MISSING_SEC_PRESENT","ROLE_DIFFERENCE_REVIEW_REQUIRED","","SOURCE_VALUE_AND_ROLE_ONLY","HUMAN_REVIEW_PENDING","AUTHORITATIVE_SOURCE_APPROVAL_PENDING","NOT_APPLIED","NOT_PROMOTED","F7FEE6527F051DE7FB9FB5015DE6E756AF1BD8FCE049B0241023FE7C3976914D","USER","REVIEW_EVIDENCE_CREATED","789019","SOURCE_VALUE_CONFIRMED","ROLE_DIFFERENCE_CONFIRMED_NOT_ERROR","NOT_APPLICABLE","SOURCE_PRESENT_PIPELINE_FIELD_NOT_POPULATED","SEC_COMPLETE_SUBMISSION_TEXT|SEC_FILING_HISTORY|SEC_ARCHIVE_PATH","[LOCAL_PATH_REMOVED_USE_ACCESSION_AND_LOCATOR]","SEC-HEADER > COMPANY DATA > COMPANY CONFORMED NAME / CENTRAL INDEX KEY","SEC 10-Q header identifies MICROSOFT CORP with CENTRAL INDEX KEY 0000789019; normalized CIK 789019 matches SEC filing history and archive-path candidate. Submitter CIK 950170 remains a separate submitter-role identifier.","Subject-company CIK candidate 789019 is confirmed within the reviewed source scope. The submitter-role difference is not a data error. The precise pipeline omission cause and authoritative-source priority remain pending.","CANDIDATE_VALUE_CONFIRMED_NOT_PROMOTED","SEC_COMPLETE_SUBMISSION_HEADER_AND_SEC_FILING_HISTORY_AND_ARCHIVE_PATH_ONLY","PRECISE_PIPELINE_OMISSION_CAUSE_AND_AUTHORITATIVE_SOURCE_PRIORITY_APPROVAL_PENDING","HANDOFF_TO_REVIEW_OWNER","Original SEC header CIK 0000789019 was normalized to 789019. Source presence is confirmed, but extraction-versus-mapping root cause was not determined in this review. No application or promotion was performed.","2026-07-29T14:34:55+09:00","김근형","UNLOCKED_WORKING"
"CIK_000095017024008814","000095017024008814","CIK_REVIEW","SUBJECT_CIK_MISSING_AND_ROLE_DIFFERENCE","V03_SUBJECT_CIK_MISSING_SEC_PRESENT_ARCHIVE_SEC_MATCH_SUBMITTER_DIFFERS","SUBJECT_COMPANY_CIK_MISSING_IN_V0_3_SEC_PRESENT|SUBJECT_COMPANY_CIK_MISSING_BUT_ARCHIVE_AND_SEC_HISTORY_MATCH|SUBMITTER_ROLE_DIFFERENCE_OBSERVED|REVIEW_REQUIRED_NOT_DATA_ERROR","","789019","","950170","","789019","789019","","","","","V03_MISSING_SEC_PRESENT","ROLE_DIFFERENCE_REVIEW_REQUIRED","","SOURCE_VALUE_AND_ROLE_ONLY","HUMAN_REVIEW_PENDING","AUTHORITATIVE_SOURCE_APPROVAL_PENDING","NOT_APPLIED","NOT_PROMOTED","F7FEE6527F051DE7FB9FB5015DE6E756AF1BD8FCE049B0241023FE7C3976914D","USER","REVIEW_EVIDENCE_CREATED","789019","SOURCE_VALUE_CONFIRMED","ROLE_DIFFERENCE_CONFIRMED_NOT_ERROR","NOT_APPLICABLE","SOURCE_PRESENT_PIPELINE_FIELD_NOT_POPULATED","SEC_COMPLETE_SUBMISSION_TEXT|SEC_FILING_HISTORY|SEC_ARCHIVE_PATH","[LOCAL_PATH_REMOVED_USE_ACCESSION_AND_LOCATOR]","SEC-HEADER > COMPANY DATA > COMPANY CONFORMED NAME / CENTRAL INDEX KEY","SEC 10-Q header identifies MICROSOFT CORP with CENTRAL INDEX KEY 0000789019; normalized CIK 789019 matches SEC filing history and archive-path candidate. Submitter CIK 950170 remains a separate submitter-role identifier.","Subject-company CIK candidate 789019 is confirmed within the reviewed source scope. The submitter-role difference is not a data error. The precise pipeline omission cause and authoritative-source priority remain pending.","CANDIDATE_VALUE_CONFIRMED_NOT_PROMOTED","SEC_COMPLETE_SUBMISSION_HEADER_AND_SEC_FILING_HISTORY_AND_ARCHIVE_PATH_ONLY","PRECISE_PIPELINE_OMISSION_CAUSE_AND_AUTHORITATIVE_SOURCE_PRIORITY_APPROVAL_PENDING","HANDOFF_TO_REVIEW_OWNER","Original SEC header CIK 0000789019 was normalized to 789019. Source presence is confirmed, but extraction-versus-mapping root cause was not determined in this review. No application or promotion was performed.","2026-07-29T14:57:20+09:00","김근형","UNLOCKED_WORKING"
"CIK_000095017024048288","000095017024048288","CIK_REVIEW","SUBJECT_CIK_MISSING_AND_ROLE_DIFFERENCE","V03_SUBJECT_CIK_MISSING_SEC_PRESENT_ARCHIVE_SEC_MATCH_SUBMITTER_DIFFERS","SUBJECT_COMPANY_CIK_MISSING_IN_V0_3_SEC_PRESENT|SUBJECT_COMPANY_CIK_MISSING_BUT_ARCHIVE_AND_SEC_HISTORY_MATCH|SUBMITTER_ROLE_DIFFERENCE_OBSERVED|REVIEW_REQUIRED_NOT_DATA_ERROR","","789019","","950170","","789019","789019","","","","","V03_MISSING_SEC_PRESENT","ROLE_DIFFERENCE_REVIEW_REQUIRED","","SOURCE_VALUE_AND_ROLE_ONLY","HUMAN_REVIEW_PENDING","AUTHORITATIVE_SOURCE_APPROVAL_PENDING","NOT_APPLIED","NOT_PROMOTED","F7FEE6527F051DE7FB9FB5015DE6E756AF1BD8FCE049B0241023FE7C3976914D","USER","REVIEW_EVIDENCE_CREATED","789019","SOURCE_VALUE_CONFIRMED","ROLE_DIFFERENCE_CONFIRMED_NOT_ERROR","NOT_APPLICABLE","SOURCE_PRESENT_PIPELINE_FIELD_NOT_POPULATED","SEC_COMPLETE_SUBMISSION_TEXT|SEC_FILING_HISTORY|SEC_ARCHIVE_PATH","[LOCAL_PATH_REMOVED_USE_ACCESSION_AND_LOCATOR]","SEC-HEADER > COMPANY DATA > COMPANY CONFORMED NAME / CENTRAL INDEX KEY","SEC 10-Q header identifies MICROSOFT CORP with CENTRAL INDEX KEY 0000789019; normalized CIK 789019 matches SEC filing history and archive-path candidate. Submitter CIK 950170 remains a separate submitter-role identifier.","Subject-company CIK candidate 789019 is confirmed within the reviewed source scope. The submitter-role difference is not a data error. The precise pipeline omission cause and authoritative-source priority remain pending.","CANDIDATE_VALUE_CONFIRMED_NOT_PROMOTED","SEC_COMPLETE_SUBMISSION_HEADER_AND_SEC_FILING_HISTORY_AND_ARCHIVE_PATH_ONLY","PRECISE_PIPELINE_OMISSION_CAUSE_AND_AUTHORITATIVE_SOURCE_PRIORITY_APPROVAL_PENDING","HANDOFF_TO_REVIEW_OWNER","Original SEC header CIK 0000789019 was normalized to 789019. Source presence is confirmed, but extraction-versus-mapping root cause was not determined in this review. No application or promotion was performed.","2026-07-29T15:07:08+09:00","김근형","UNLOCKED_WORKING"
"CIK_000095017024087843","000095017024087843","CIK_REVIEW","SUBJECT_CIK_MISSING_AND_ROLE_DIFFERENCE","V03_SUBJECT_CIK_MISSING_SEC_PRESENT_ARCHIVE_SEC_MATCH_SUBMITTER_DIFFERS","SUBJECT_COMPANY_CIK_MISSING_IN_V0_3_SEC_PRESENT|SUBJECT_COMPANY_CIK_MISSING_BUT_ARCHIVE_AND_SEC_HISTORY_MATCH|SUBMITTER_ROLE_DIFFERENCE_OBSERVED|REVIEW_REQUIRED_NOT_DATA_ERROR","","789019","","950170","","789019","789019","","","","","V03_MISSING_SEC_PRESENT","ROLE_DIFFERENCE_REVIEW_REQUIRED","","SOURCE_VALUE_AND_ROLE_ONLY","HUMAN_REVIEW_PENDING","AUTHORITATIVE_SOURCE_APPROVAL_PENDING","NOT_APPLIED","NOT_PROMOTED","F7FEE6527F051DE7FB9FB5015DE6E756AF1BD8FCE049B0241023FE7C3976914D","USER","REVIEW_EVIDENCE_CREATED","789019","SOURCE_VALUE_CONFIRMED","ROLE_DIFFERENCE_CONFIRMED_NOT_ERROR","NOT_APPLICABLE","SOURCE_PRESENT_PIPELINE_FIELD_NOT_POPULATED","SEC_COMPLETE_SUBMISSION_TEXT|SEC_FILING_HISTORY|SEC_ARCHIVE_PATH","[LOCAL_PATH_REMOVED_USE_ACCESSION_AND_LOCATOR]","SEC-HEADER > COMPANY DATA > COMPANY CONFORMED NAME / CENTRAL INDEX KEY","SEC 10-K header identifies MICROSOFT CORP with CENTRAL INDEX KEY 0000789019; normalized CIK 789019 matches SEC filing history and archive-path candidate. Submitter CIK 950170 remains a separate submitter-role identifier.","Subject-company CIK candidate 789019 is confirmed within the reviewed source scope. The submitter-role difference is not a data error. The precise pipeline omission cause and authoritative-source priority remain pending.","CANDIDATE_VALUE_CONFIRMED_NOT_PROMOTED","SEC_COMPLETE_SUBMISSION_HEADER_AND_SEC_FILING_HISTORY_AND_ARCHIVE_PATH_ONLY","PRECISE_PIPELINE_OMISSION_CAUSE_AND_AUTHORITATIVE_SOURCE_PRIORITY_APPROVAL_PENDING","HANDOFF_TO_REVIEW_OWNER","Original SEC header CIK 0000789019 was normalized to 789019. Source presence is confirmed, but extraction-versus-mapping root cause was not determined in this review. No application or promotion was performed.","2026-07-29T15:15:53+09:00","김근형","UNLOCKED_WORKING"
"CIK_000095017024118967","000095017024118967","CIK_REVIEW","SUBJECT_CIK_MISSING_AND_ROLE_DIFFERENCE","V03_SUBJECT_CIK_MISSING_SEC_PRESENT_ARCHIVE_SEC_MATCH_SUBMITTER_DIFFERS","SUBJECT_COMPANY_CIK_MISSING_IN_V0_3_SEC_PRESENT|SUBJECT_COMPANY_CIK_MISSING_BUT_ARCHIVE_AND_SEC_HISTORY_MATCH|SUBMITTER_ROLE_DIFFERENCE_OBSERVED|REVIEW_REQUIRED_NOT_DATA_ERROR","","789019","","950170","","789019","789019","","","","","V03_MISSING_SEC_PRESENT","ROLE_DIFFERENCE_REVIEW_REQUIRED","","SOURCE_VALUE_AND_ROLE_ONLY","HUMAN_REVIEW_PENDING","AUTHORITATIVE_SOURCE_APPROVAL_PENDING","NOT_APPLIED","NOT_PROMOTED","F7FEE6527F051DE7FB9FB5015DE6E756AF1BD8FCE049B0241023FE7C3976914D","USER","REVIEW_EVIDENCE_CREATED","789019","SOURCE_VALUE_CONFIRMED","ROLE_DIFFERENCE_CONFIRMED_NOT_ERROR","NOT_APPLICABLE","SOURCE_PRESENT_PIPELINE_FIELD_NOT_POPULATED","SEC_COMPLETE_SUBMISSION_TEXT|SEC_FILING_HISTORY|SEC_ARCHIVE_PATH","[LOCAL_PATH_REMOVED_USE_ACCESSION_AND_LOCATOR]","SEC-HEADER > COMPANY DATA > COMPANY CONFORMED NAME / CENTRAL INDEX KEY","SEC 10-Q header identifies MICROSOFT CORP with CENTRAL INDEX KEY 0000789019; normalized CIK 789019 matches SEC filing history and archive-path candidate. Submitter CIK 950170 remains a separate submitter-role identifier.","Subject-company CIK candidate 789019 is confirmed within the reviewed source scope. The submitter-role difference is not a data error. The precise pipeline omission cause and authoritative-source priority remain pending.","CANDIDATE_VALUE_CONFIRMED_NOT_PROMOTED","SEC_COMPLETE_SUBMISSION_HEADER_AND_SEC_FILING_HISTORY_AND_ARCHIVE_PATH_ONLY","PRECISE_PIPELINE_OMISSION_CAUSE_AND_AUTHORITATIVE_SOURCE_PRIORITY_APPROVAL_PENDING","HANDOFF_TO_REVIEW_OWNER","Original SEC header CIK 0000789019 was normalized to 789019. Source presence is confirmed, but extraction-versus-mapping root cause was not determined in this review. No application or promotion was performed.","2026-07-29T15:34:24+09:00","김근형","UNLOCKED_WORKING"
"CIK_000095017025010491","000095017025010491","CIK_REVIEW","SUBJECT_CIK_MISSING_AND_ROLE_DIFFERENCE","V03_SUBJECT_CIK_MISSING_SEC_PRESENT_ARCHIVE_SEC_MATCH_SUBMITTER_DIFFERS","SUBJECT_COMPANY_CIK_MISSING_IN_V0_3_SEC_PRESENT|SUBJECT_COMPANY_CIK_MISSING_BUT_ARCHIVE_AND_SEC_HISTORY_MATCH|SUBMITTER_ROLE_DIFFERENCE_OBSERVED|REVIEW_REQUIRED_NOT_DATA_ERROR","","789019","","950170","","789019","789019","","","","","V03_MISSING_SEC_PRESENT","ROLE_DIFFERENCE_REVIEW_REQUIRED","","SOURCE_VALUE_AND_ROLE_ONLY","HUMAN_REVIEW_PENDING","AUTHORITATIVE_SOURCE_APPROVAL_PENDING","NOT_APPLIED","NOT_PROMOTED","F7FEE6527F051DE7FB9FB5015DE6E756AF1BD8FCE049B0241023FE7C3976914D","USER","REVIEW_EVIDENCE_CREATED","789019","SOURCE_VALUE_CONFIRMED","ROLE_DIFFERENCE_CONFIRMED_NOT_ERROR","NOT_APPLICABLE","SOURCE_PRESENT_PIPELINE_FIELD_NOT_POPULATED","SEC_COMPLETE_SUBMISSION_TEXT|SEC_FILING_HISTORY|SEC_ARCHIVE_PATH","[LOCAL_PATH_REMOVED_USE_ACCESSION_AND_LOCATOR]","SEC-HEADER > COMPANY DATA > COMPANY CONFORMED NAME / CENTRAL INDEX KEY","SEC 10-Q header identifies MICROSOFT CORP with CENTRAL INDEX KEY 0000789019; normalized CIK 789019 matches SEC filing history and archive-path candidate. Submitter CIK 950170 remains a separate submitter-role identifier.","Subject-company CIK candidate 789019 is confirmed within the reviewed source scope. The submitter-role difference is not a data error. The precise pipeline omission cause and authoritative-source priority remain pending.","CANDIDATE_VALUE_CONFIRMED_NOT_PROMOTED","SEC_COMPLETE_SUBMISSION_HEADER_AND_SEC_FILING_HISTORY_AND_ARCHIVE_PATH_ONLY","PRECISE_PIPELINE_OMISSION_CAUSE_AND_AUTHORITATIVE_SOURCE_PRIORITY_APPROVAL_PENDING","HANDOFF_TO_REVIEW_OWNER","Original SEC header CIK 0000789019 was normalized to 789019. Source presence is confirmed, but extraction-versus-mapping root cause was not determined in this review. No application or promotion was performed.","2026-07-29T15:38:12+09:00","김근형","UNLOCKED_WORKING"
"CIK_000095017025061046","000095017025061046","CIK_REVIEW","SUBJECT_CIK_MISSING_AND_ROLE_DIFFERENCE","V03_SUBJECT_CIK_MISSING_SEC_PRESENT_ARCHIVE_SEC_MATCH_SUBMITTER_DIFFERS","SUBJECT_COMPANY_CIK_MISSING_IN_V0_3_SEC_PRESENT|SUBJECT_COMPANY_CIK_MISSING_BUT_ARCHIVE_AND_SEC_HISTORY_MATCH|SUBMITTER_ROLE_DIFFERENCE_OBSERVED|REVIEW_REQUIRED_NOT_DATA_ERROR","","789019","","950170","","789019","789019","","","","","V03_MISSING_SEC_PRESENT","ROLE_DIFFERENCE_REVIEW_REQUIRED","","SOURCE_VALUE_AND_ROLE_ONLY","HUMAN_REVIEW_PENDING","AUTHORITATIVE_SOURCE_APPROVAL_PENDING","NOT_APPLIED","NOT_PROMOTED","F7FEE6527F051DE7FB9FB5015DE6E756AF1BD8FCE049B0241023FE7C3976914D","USER","REVIEW_EVIDENCE_CREATED","789019","SOURCE_VALUE_CONFIRMED","ROLE_DIFFERENCE_CONFIRMED_NOT_ERROR","NOT_APPLICABLE","SOURCE_PRESENT_PIPELINE_FIELD_NOT_POPULATED","SEC_COMPLETE_SUBMISSION_TEXT|SEC_FILING_HISTORY|SEC_ARCHIVE_PATH","[LOCAL_PATH_REMOVED_USE_ACCESSION_AND_LOCATOR]","SEC-HEADER > COMPANY DATA > COMPANY CONFORMED NAME / CENTRAL INDEX KEY","SEC 10-Q header identifies MICROSOFT CORP with CENTRAL INDEX KEY 0000789019; normalized CIK 789019 matches SEC filing history and archive-path candidate. Submitter CIK 950170 remains a separate submitter-role identifier.","Subject-company CIK candidate 789019 is confirmed within the reviewed source scope. The submitter-role difference is not a data error. The precise pipeline omission cause and authoritative-source priority remain pending.","CANDIDATE_VALUE_CONFIRMED_NOT_PROMOTED","SEC_COMPLETE_SUBMISSION_HEADER_AND_SEC_FILING_HISTORY_AND_ARCHIVE_PATH_ONLY","PRECISE_PIPELINE_OMISSION_CAUSE_AND_AUTHORITATIVE_SOURCE_PRIORITY_APPROVAL_PENDING","HANDOFF_TO_REVIEW_OWNER","Original SEC header CIK 0000789019 was normalized to 789019. Source presence is confirmed, but extraction-versus-mapping root cause was not determined in this review. No application or promotion was performed.","2026-07-29T15:43:22+09:00","김근형","UNLOCKED_WORKING"
"CIK_000095017025100235","000095017025100235","CIK_REVIEW","SUBJECT_CIK_MISSING_AND_ROLE_DIFFERENCE","V03_SUBJECT_CIK_MISSING_SEC_PRESENT_ARCHIVE_SEC_MATCH_SUBMITTER_DIFFERS","SUBJECT_COMPANY_CIK_MISSING_IN_V0_3_SEC_PRESENT|SUBJECT_COMPANY_CIK_MISSING_BUT_ARCHIVE_AND_SEC_HISTORY_MATCH|SUBMITTER_ROLE_DIFFERENCE_OBSERVED|REVIEW_REQUIRED_NOT_DATA_ERROR","","789019","","950170","","789019","789019","","","","","V03_MISSING_SEC_PRESENT","ROLE_DIFFERENCE_REVIEW_REQUIRED","","SOURCE_VALUE_AND_ROLE_ONLY","HUMAN_REVIEW_PENDING","AUTHORITATIVE_SOURCE_APPROVAL_PENDING","NOT_APPLIED","NOT_PROMOTED","F7FEE6527F051DE7FB9FB5015DE6E756AF1BD8FCE049B0241023FE7C3976914D","USER","REVIEW_EVIDENCE_CREATED","789019","SOURCE_VALUE_CONFIRMED","ROLE_DIFFERENCE_CONFIRMED_NOT_ERROR","NOT_APPLICABLE","SOURCE_PRESENT_PIPELINE_FIELD_NOT_POPULATED","SEC_COMPLETE_SUBMISSION_TEXT|SEC_FILING_HISTORY|SEC_ARCHIVE_PATH|CONTRACT_PATH_ROLE_FALLBACK","[LOCAL_PATH_REMOVED_USE_ACCESSION_AND_LOCATOR]","SEC-HEADER > COMPANY DATA > COMPANY CONFORMED NAME / CENTRAL INDEX KEY","SEC 10-K header identifies MICROSOFT CORP with CENTRAL INDEX KEY 0000789019; normalized CIK 789019 matches SEC filing history and archive-path candidate. Submitter CIK 950170 remains a separate submitter-role identifier.","Subject-company CIK candidate 789019 is confirmed within the reviewed source scope. The submitter-role difference is not a data error. The precise pipeline omission cause and authoritative-source priority remain pending.","CANDIDATE_VALUE_CONFIRMED_NOT_PROMOTED","SEC_COMPLETE_SUBMISSION_HEADER_AND_SEC_FILING_HISTORY_AND_ARCHIVE_PATH_ONLY","PRECISE_PIPELINE_OMISSION_CAUSE_AND_AUTHORITATIVE_SOURCE_PRIORITY_APPROVAL_PENDING","HANDOFF_TO_REVIEW_OWNER","Original SEC header CIK 0000789019 was normalized to 789019. The contract source-file-type field was blank, but the complete-submission source was resolved by accession plus path and filename role. Source presence is confirmed; extraction-versus-mapping root cause remains undetermined. No application or promotion was performed.","2026-07-29T16:05:28+09:00","김근형","UNLOCKED_WORKING"
